# Constructed from biom file
#OTU ID	CS.001	CS.002	CS.003	CS.004	CS.005	CS.006	CS.007	CS.008	CS.009	CS.010	CS.011	CS.012	CS.013	CS.014	CS.015	CS.016	CS.017	CS.018	CS.019	CS.020	CS.021	CS.022	CS.023	CS.024	CS.025	CS.026	CS.027	CS.028	CS.029	CS.030	CS.031	CS.032	CS.033	CS.035	CS.036	CS.037	CS.038	CS.039	CS.040	CS.041	CS.042	CS.043	CS.044	CS.045	CS.046	CS.047	CS.049	CS.050	CS.051	CS.052	CS.053	CS.055	CS.056	CS.057	CS.058	CS.059	CS.060	CS.061	CS.062	CS.063	CS.064	CS.065	CS.066	CS.067	CS.068	CS.070	CS.071	CS.072	CS.073	CS.074	CS.075	CS.076	CS.077	CS.078	CS.079	CS.080	CS.082	CS.083	CS.084	CS.085	CS.086	CS.087	CS.088	CS.089	CS.090	CS.091	CS.092	CS.093	CS.094	CS.095	CS.096	CS.097	CS.098	CS.099	CS.101	CS.102	CS.103	CS.104	CS.105	CS.106	CS.108	CS.109	CS.110	CS.111	CS.112	CS.113	CS.114	CS.115	CS.117	CS.118	CS.119	CS.120	CS.122	CS.123	CS.124	CS.130	CS.131	CS.132	CS.133	CS.135	CS.136	CS.143	CS.153	CS.154	CS.156	CS.157	CS.158	CS.160	CS.161	CS.163	CS.164	CS.165	CS.167	CS.168	CS.169	CS.170	CS.171	CS.172	CS.173	CS.175	CS.176	CS.199	CS.200	CS.217	CS.218	CS.219	CS.220	CS.227	CS.228	CS.229	CS.231	CS.232	CS.233	CS.235	CS.236	CS.237	CS.238	CS.239	CS.240	CS.241	CS.247	CS.248	CS.249	CS.251	CS.284	CS.285	CS.286	CS.292	CS.298	CS.308.0	CS.311	CS.312	CS.345.0	CS.346	CS.347.0	L.001.M1	L.002.M1	L.003.M1	L.004.M1	L.005.M1	L.006.M1	L.007.M1	L.008.M1	L.011.M1	L.012.M1	L.022.M1	L.024.M1	L.025.M1
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.035792421458	0.0	0.00060773480663	0.0	0.00148863673955	9.29857731768e-05	0.000778837862646	0.0	0.0	0.002414001207	0.0761458524201	0.0142072725876	0.00170565302144	0.0023906623541	0.0	0.000197954470472	0.0	4.7725862645e-05	0.0	0.0	0.0	0.0	3.64896916621e-05	0.0219876868953	0.000278600034825	0.000138821406261	0.000193326373584	0.00044501982361	3.35671847202e-05	0.00241448692153	0.00955614673761	0.000345290619605	0.000630889949134	0.00315917375456	0.0	0.0	0.0	0.0	0.000332681831413	0.0	0.0	4.95564695971e-05	0.0	0.0	0.00900244195794	0.0	0.0	4.03730469539e-05	0.0	0.00019443904336	0.000139314572304	0.0	0.0	0.00039584799437	0.0	0.0171581592171	3.83141762452e-05	0.0	6.64120869998e-05	3.95647873393e-05	0.00338811781139	0.0	4.71275743437e-05	0.0	0.0	0.0	0.000239660367023	0.000504753091613	0.000147754137116	4.54896965837e-05	0.00130019688696	7.85422557335e-05	0.0	0.0	0.0	0.0	0.00092696180278	0.00458561211611	0.00248756218905	8.31220647521e-05	0.0	0.0	0.0	0.0	0.000297453058189	8.28500414249e-05	0.00366531850354	0.0	0.0	0.0	7.96368559369e-05	0.0	0.00449580144163	0.000375657400451	0.0007768587488	0.0	9.80248002746e-05	0.0	0.00182848784056	0.0	0.0204089880375	0.0160403576607	0.0	0.000115035085701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000395804472591	4.18918352813e-05	7.35862246587e-05	0.0	0.00172454603862	0.0	0.0	3.26200417537e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042071444963	3.89574973704e-05	6.24531601299e-05	0.0	4.05827685565e-05	0.0	0.0	0.0	0.0	0.00068986332083	0.000684187225822	0.000299790146897	0.0058820867834	0.0	0.0	0.0	0.0	0.0	0.0013880126183	0.00211682878887	0.000809560524288	0.0	0.0	0.0	0.000138459408317	0.000123127436897	0.0242518730241	0.00132369412483	0.0	0.0	0.0	0.0	0.0	0.0	0.000641500123365	0.0186093298126	0.0	0.0	0.0	0.0	0.0	0.000364448088925	0.000206967919972	0.0	0.0	0.000743201888607	0.000631466459416	0.0	0.0	0.000136407038603	0.00191265540325	0.00317838696861	0.00684110656147	7.52700312371e-05	0.000829928498468
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.0	0.0	0.0	0.0	3.30808164345e-05	0.0	0.0	3.69276218612e-05	0.0	0.0	0.0162290919561	0.0	0.0	0.000386724792575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000949868073879	0.0	0.0	0.0	0.0	0.0	0.00165437066846	0.00395547465696	7.67312488011e-05	0.000315444974567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43135572865e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.64120869998e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047671125319	0.0	0.0	0.0	0.0	0.000219490781387	0.0	0.0	0.0	0.000735176602206	0.0	0.0	0.00137151406841	0.0	0.0	0.0	0.0	0.0	4.14250207125e-05	0.00391809908999	0.0	0.0	0.0	0.0	0.0	0.0	5.36653429215e-05	0.0	0.0	0.0	0.0	0.0	7.27219838557e-05	0.0212172647915	0.0141674722088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.37836705626e-05	0.0	0.0	0.00125114124371	0.000433125433125	0.0	0.0	0.0	0.0	0.00367812640745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82467681482e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002533821999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7101002313e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.46907400787e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000437177581534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.09793931674e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66636113657e-05	0.0	0.0	0.0	0.0	4.36338249411e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.02463074013e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.260758415e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__	2.91706776348e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.47127207691e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96129586307e-05	0.0	0.0	0.0	0.0	0.0	5.60836768459e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69644771375e-05	0.0	0.0	0.0	8.31220647521e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.21602934356e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58905052545e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.63437935381e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	2.91706776348e-05	0.000310476359443	0.000441988950276	5.18349574953e-05	0.00036388898078	0.00111582927812	0.000472865845178	0.00214180206795	3.18552497452e-05	0.0	0.000183231683376	0.000191990170103	0.000487329434698	0.000105470397975	0.0	9.89772352358e-05	8.95656068069e-05	9.54517252898e-05	6.98250881542e-05	4.32245515453e-05	0.000437916863168	0.000238811673115	0.000912242291552	0.000738786279683	0.000348250043531	0.000277642812522	7.73305494337e-05	0.000283194433207	3.35671847202e-05	0.000581265369998	0.000455054606553	7.67312488011e-05	0.000512598083672	4.8602673147e-05	0.00163341500408	0.0	0.000150353330326	0.000253699788584	0.000790119349607	4.11641213518e-05	0.000340781850932	0.00198225878388	0.00229993698803	0.000615542446781	0.000473812734628	0.000274508458292	4.12235138923e-05	0.000121119140862	0.00146198830409	0.000583317130081	0.00017414321538	0.000489073077814	0.0	0.0012315270936	0.000503292370926	0.000396720444326	0.000651340996169	0.000438946528332	0.0001660302175	0.000830860534125	0.000475525306862	5.92259172613e-05	0.000424148169094	0.000479577971386	0.00225032487084	0.000410621407063	0.00126677622569	0.00224334707383	0.000591016548463	0.000227448482919	0.000185742412422	0.000314169022934	0.000131694468832	0.000219619326501	9.95222929935e-05	0.000739289542749	0.000607319801822	0.000504838031132	0.000435323383085	0.00228585678068	0.000408329930584	0.000361415302324	0.000154099034313	0.00163618056721	0.0	0.000828500414249	0.000210650488709	0.000375260123495	0.000389325405252	0.0004033736707	0.000477821135622	0.000186866988078	0.000222932302891	0.000268326714608	0.000274185440753	0.00209319881957	4.90124001373e-05	0.00082852681559	0.000757516391087	0.000181804959639	0.00020206918849	0.000302078298695	4.00304231216e-05	0.000115035085701	2.88591959828e-05	0.000519557633786	0.000267964807289	0.00154100165107	0.000365582106418	0.000395987328405	0.000504060487258	0.000131934824197	4.18918352813e-05	3.67931123294e-05	0.00012528188424	0.000574848679539	0.000389812889813	0.000118221941992	0.000130480167015	0.000117320402018	0.000184068841747	0.000638042335986	0.000474158368895	0.00128400609903	0.00223683009221	0.00050645733097	0.000337282347485	0.00162036122199	0.000331936434173	0.000471198020968	0.000609857515108	0.000586617781852	0.000301148127235	0.00019123384074	0.000857064942148	0.000437172120909	0.000174535299764	0.00292195933607	0.000621468926554	0.0239938430893	0.000640204865557	0.00535191356155	0.000215582287759	0.00342093612911	0.000199860097931	0.000316727749876	0.000415167450872	0.00160616768391	0.000518920645058	0.000330810900219	0.000697407285855	0.000210304942166	0.00105841439444	7.7101002313e-05	0.000265375174152	0.00569056991273	0.000871014163447	0.000646143905478	0.000246254873794	0.000303148412802	0.000152733937481	0.000446907400787	0.000692932092655	0.000276740002767	0.000285551113649	0.000264460312063	0.0001704303366	0.000394769306686	0.000335303239868	0.000260620276257	0.000147754137116	0.000392687290021	0.00020255215718	0.002645684442	0.00132112432235	0.00110382890652	0.000146792582082	9.51474785917e-05	0.00139896826091	0.000194297372128	0.00279862096938	0.00132100396301	0.000272814077206	0.000318775900542	0.000132432790359	4.99350843903e-05	3.76350156185e-05	0.00038304392237
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000183231683376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014072119613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0.0	0.0	0.0	0.000103669914991	0.0	0.0	2.78156379517e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000105540897098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.72053462939e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.12952038984e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00165300185136	0.0	0.0	3.32060434999e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.60836768459e-05	0.0	4.54896965837e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.22830604648e-05	0.0	0.0	0.0	4.14250207125e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00326967377573	0.0	4.56975734588e-05	0.0	0.0	0.0	0.0	3.63609919279e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00151856794441	0.0	4.31053062632e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000749475367243	4.52468214108e-05	0.0	0.0	0.0	0.000206756812637	0.000123071873974	0.0	0.0	0.0	0.0	0.0	0.0	4.61531361056e-05	0.0	0.0	0.000203645249975	0.0	0.0	0.0	0.0	0.0	0.0	4.93461633358e-05	0.0	4.34367127096e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.0	0.000177415062539	0.0	0.0	0.0	3.09952577256e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.49125440771e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73305494337e-05	0.0	3.35671847202e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75883325816e-05	0.000169133192389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.84733764235e-05	0.0	0.0	2.5740688306e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.80418384229e-05	0.0	0.0	0.0	3.92711278668e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1561032376e-05	0.0	0.0	5.13663447709e-05	0.0	0.0	0.0	0.0	3.41145566813e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.60067208065e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75319021168e-05	4.31053062632e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.64971751412e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58905052545e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.33069161145e-05	0.0	0.0	0.0	0.0	4.07930162356e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55560111157e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.0	0.0	5.52486187845e-05	0.0	3.30808164345e-05	0.000743886185414	0.0	0.000110782865583	0.0	0.0	0.0	7.67960680413e-05	0.000104427736007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000101057737654	0.0	0.000255427841635	3.51802990325e-05	3.48250043531e-05	6.94107031303e-05	0.0	0.0	3.35671847202e-05	4.47127207691e-05	0.000105012601512	0.0	7.88612436418e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.95564695971e-05	0.000283553875236	0.000102590407797	3.6447133433e-05	0.0	0.0	0.0	7.6946752847e-05	0.0	3.48286430761e-05	2.5740688306e-05	0.0	0.0	0.000209705154553	0.0	0.0	0.0	3.32060434999e-05	0.0	5.94406633578e-05	0.0	0.0	7.99296618976e-05	0.0	0.0	3.4237195289e-05	5.60836768459e-05	0.0	0.0	0.0	3.92711278668e-05	0.0	0.00010980966325	0.0	0.0	3.19642000959e-05	0.000546907867059	6.21890547264e-05	0.00020780516188	3.40274942153e-05	7.22830604648e-05	0.0	4.19533478772e-05	0.0	8.28500414249e-05	0.0	0.000102343670044	0.0	0.0	0.0	3.73733976156e-05	0.0	0.0	4.56975734588e-05	0.0	0.000147037200412	0.0	2.61212548651e-05	3.63609919279e-05	0.0	0.0	0.0	7.66900571341e-05	0.0	3.71112595561e-05	0.0	0.0	6.64694738941e-05	8.799718409e-05	0.0	0.0	0.0	7.35862246587e-05	0.0	0.0	4.33125433125e-05	0.0	0.0	0.0	0.0	3.75319021168e-05	0.0	0.0	0.000182598374874	0.00050645733097	0.0	0.000316168043315	0.0	0.0	0.0	0.0	0.0	0.0	3.89574973704e-05	0.00012490632026	0.0	0.00068990706546	5.64971751412e-05	4.52714020553e-05	3.55669369754e-05	0.000370258170925	0.0	0.000362216766612	4.99650244829e-05	0.0	4.61297167635e-05	4.58905052545e-05	0.0	0.0	0.0	4.20609884332e-05	5.04006854493e-05	3.85505011565e-05	0.0	4.27862399452e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000184493335178	0.0	0.0	0.0	0.0	0.0	0.0	4.92513790386e-05	0.0	0.0	0.0	4.55560111157e-05	0.0	0.0	0.0	0.000218588790767	4.8574343032e-05	0.0	0.0	0.0	0.0	0.0	0.000249675421951	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69276218612e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39831104856e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99648309489e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63609919279e-05	0.0	0.0	0.0	0.0	2.88591959828e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.43205868713e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.82467681482e-05	0.0	0.0	0.00100357797365	4.05827685565e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000499650244829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09113124936e-05	0.0	0.0	0.0	0.0	0.0	4.260758415e-05	0.0	0.0	0.0	0.0	0.0	0.000243062588617	0.000137438152831	0.0	0.0	0.0	4.75737392959e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000649156097074	0.0	0.0
