	chao1	observed_otus	shannon	simpson
CS.001	338.0	338.0	6.86756404063	0.983843393598
CS.002	237.0	237.0	6.28707505905	0.975287212693
CS.003	213.0	213.0	6.1706077028	0.970574560438
CS.004	158.0	158.0	5.9794958955	0.971866144715
CS.005	351.0	351.0	6.66408619351	0.977750476182
CS.006	208.0	208.0	5.76659542576	0.957046881083
CS.007	203.0	203.0	5.55420385601	0.938315170124
CS.008	200.0	200.0	6.07827206918	0.967659512929
CS.009	139.0	139.0	5.47665856578	0.963663083609
CS.010	157.0	157.0	5.99458593135	0.950560475778
CS.011	326.0	326.0	6.67675885098	0.977013571944
CS.012	279.0	279.0	6.51019135806	0.977808382725
CS.013	341.0	341.0	6.70598805634	0.974871953717
CS.014	331.0	331.0	6.37037477675	0.969875933952
CS.015	152.0	152.0	5.22288271251	0.944664937589
CS.016	188.0	188.0	5.71845818251	0.954172467488
CS.017	172.0	172.0	5.07762881357	0.898644050963
CS.018	113.0	113.0	5.04530285543	0.931157066869
CS.019	177.0	177.0	5.48878186812	0.951415416001
CS.020	156.0	156.0	5.6043476302	0.95707403648
CS.021	179.0	179.0	5.84352367459	0.965405679578
CS.022	142.0	142.0	5.40879914826	0.959900506395
CS.023	240.0	240.0	6.16396297453	0.967533268877
CS.024	355.0	355.0	6.8970123545	0.980924030587
CS.025	212.0	212.0	5.66387513091	0.943597572954
CS.026	199.0	199.0	6.48889794428	0.979572253773
CS.027	230.0	230.0	5.59276507572	0.94308641517
CS.028	262.0	262.0	6.43927842327	0.977158865936
CS.029	244.0	244.0	6.28442918359	0.974937173211
CS.030	240.0	240.0	6.29895745858	0.972878780023
CS.031	169.0	169.0	5.3763000212	0.957179612687
CS.032	124.0	124.0	4.7222557391	0.909557129741
CS.033	227.0	227.0	6.26092314178	0.975417068733
CS.035	208.0	208.0	5.70180396215	0.951755152264
CS.036	223.0	223.0	6.29786522252	0.977371646039
CS.037	143.0	143.0	5.4615987732	0.957084608099
CS.038	156.0	156.0	5.45303490747	0.9471185899
CS.039	123.0	123.0	5.73359560197	0.962931138048
CS.040	204.0	204.0	5.52264443537	0.947504396206
CS.041	164.0	164.0	4.93417702793	0.911113118979
CS.042	138.0	138.0	5.52386104211	0.961933630005
CS.043	188.0	188.0	6.20928744308	0.975240621483
CS.044	177.0	177.0	5.81459397902	0.964232899837
CS.045	172.0	172.0	6.225857968	0.978009180902
CS.046	276.0	276.0	6.27536148507	0.965418272296
CS.047	141.0	141.0	5.3846840325	0.954372079363
CS.049	141.0	141.0	5.19971501141	0.932554603126
CS.050	164.0	164.0	5.62542476146	0.963282653538
CS.051	148.0	148.0	5.77303601989	0.967310531401
CS.052	248.0	248.0	6.01028370457	0.965677140373
CS.053	255.0	255.0	6.20171668244	0.969069231645
CS.055	192.0	192.0	5.93267886657	0.968101299376
CS.056	159.0	159.0	5.87491704453	0.966193797878
CS.057	207.0	207.0	6.01105153608	0.969140526129
