	PD_whole_tree	chao1	observed_otus	shannon	simpson
T.CS.093	122.32928	873.791666667	569.0	6.20615346972	0.952492421708
T.CS.143	103.06622	959.040322581	664.0	6.30087214916	0.95969715357
T.CS.090	90.82999	896.114754098	483.0	5.65384959441	0.946277016707
CS.001	129.73955	854.590909091	568.0	6.98842159284	0.983384896834
T.CS.047	100.10449	836.127659574	474.0	6.63818521056	0.981187114441
T.CS.071	113.88663	1092.28282828	669.0	6.38715351684	0.96632361445
CS.137	105.31484	807.686046512	590.0	6.59038411505	0.973462585669
CS.071	92.4215	761.514705882	460.0	6.21733947219	0.972782095265
CS.008	108.13814	1159.72222222	560.0	6.58233180335	0.973868468342
CS.290	66.84937	572.212765957	374.0	5.65885154277	0.940680853436
CS.111	115.15706	777.53125	523.0	6.51396224665	0.972901390153
TFSCS024	92.33612	791.761363636	540.0	6.34117007853	0.973810292474
T.CS.051	109.34476	1152.96153846	612.0	6.55785178987	0.975525359077
TFSCS020	128.39367	1008.2952381	665.0	6.88039192976	0.982386027419
T.CS.023	55.84576	386.130434783	287.0	5.59463512648	0.96217106065
CS.016	90.96204	795.846153846	471.0	6.14693650628	0.962709073983
CS.122	108.7536	966.053571429	528.0	6.37966565462	0.969438584072
T.CS.134	118.22987	1039.3627451	637.0	6.08088490254	0.961548681286
T.CS.145	107.4464	1009.61052632	633.0	6.35210825413	0.969717237016
CS.238	103.9669	908.588235294	538.0	6.73100473778	0.981506530685
CS.009	71.14323	612.448275862	382.0	5.78206612409	0.966836228513
CS.021	88.92405	917.188679245	475.0	6.27515745973	0.971609216862
CS.139	59.71119	613.964912281	388.0	5.83445148241	0.960697786283
CS.156	62.28391	663.434782609	340.0	5.07269635265	0.939266818103
CS.239	125.58591	1079.08571429	638.0	7.1732665427	0.985832328513
T.CS.003	118.51522	1136.97826087	672.0	6.59228755967	0.971897282706
L.005.M2	124.25298	1040.29032258	667.0	6.69841758274	0.967639397782
CS.217	118.33318	1142.55932203	585.0	6.78550666614	0.977105650074
T.CS.092	129.65779	828.685714286	564.0	6.68753211834	0.956006324535
CS.222	63.26898	445.133333333	307.0	5.52792507651	0.959255680802
CS.382	93.75878	1001.01149425	605.0	6.87428106596	0.983375289453
CS.379	59.70172	600.333333333	352.0	5.50489505875	0.956100972148
CS.130	114.57577	1023.03571429	616.0	6.77868032013	0.980267204473
CS.143	105.38575	971.368421053	541.0	6.62522821753	0.973203873551
CS.002	106.25721	651.92	446.0	6.56688201927	0.977320590912
CS.133	91.97459	1084.17241379	517.0	6.25037677165	0.9741752044
CS.334	68.77028	510.0625	346.0	5.99258906937	0.968537266525
CS.224	43.89329	313.263157895	228.0	4.58778807937	0.892888061695
CS.113	96.4288	1093.04	561.0	5.97318687759	0.961095345153
CS.007	111.85547	1111.86734694	645.0	6.15609085317	0.954417048498
CS.019	103.54946	1086.79545455	604.0	6.15507772537	0.961570761408
L.004.M1	132.83135	1228.04237288	768.0	7.06441928141	0.980572825504
T.CS.067	104.8252	1101.0	636.0	5.83848818296	0.952963222271
CS.015	96.25857	920.163043478	557.0	5.77094373499	0.95122555693
T.CS.136	102.64247	1035.08247423	641.0	6.18122129879	0.961930500128
T.CS.081	103.31855	1016.1010101	676.0	6.41770908689	0.966145417629
L.005.M4	123.86361	1002.01086957	650.0	6.70600327527	0.96743438846
CS.159	117.45957	962.752066116	693.0	6.7455246733	0.975347227084
CS.365	101.44849	955.373134328	545.0	6.31285804317	0.966646375774
T.CS.094	103.67888	914.0	592.0	5.90699395065	0.953175933057
TFSCS022	143.69934	1064.0	785.0	7.36148822829	0.987007099867
CS.198	98.20492	961.666666667	569.0	6.29474089414	0.96373841215
CS.218	130.96478	867.1	598.0	6.90028401545	0.979783205105
T.CS.151	109.75256	1037.34285714	660.0	6.31800257107	0.966071423941
T.CS.087	81.03599	859.901785714	582.0	5.93333452971	0.960719607096
TFSCS027	105.16545	908.511111111	631.0	6.2363144475	0.963042052064
T.CS.099	130.11489	1302.02941176	727.0	6.47144825153	0.967156643096
CS.188	81.44987	767.37037037	541.0	6.2253052687	0.964938479052
L.006.M5	139.25355	1331.91262136	792.0	7.12155996457	0.980227958127
CS.293	111.16592	933.571428571	566.0	6.20327702278	0.96458645476
T.CS.141	85.60283	920.846153846	525.0	6.18636786953	0.971447784338
CS.023	130.28666	1241.58928571	751.0	6.79918606744	0.973771746261
CS.105	119.18259	1062.06122449	652.0	6.25863159998	0.954961155583
CS.005	146.87608	1285.76623377	734.0	7.08113736376	0.980487888995
T.CS.088	84.86852	906.246575342	536.0	6.3232692742	0.97199668863
TFSCS025	91.37528	980.618556701	620.0	6.43140005783	0.973575592326
CS.160	105.43158	957.61627907	557.0	6.05176945184	0.961148892364
T.CS.142	95.01611	960.554545455	608.0	6.16267355105	0.969184150544
CS.123	94.03027	889.884057971	488.0	5.74258741047	0.962889410099
