	PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.219	33.28561	210.0	210.0	5.15962324277	0.943815285122
CS.295	31.66939	236.0	236.0	4.73281255026	0.901392139141
CS.025	31.9465	218.0	218.0	5.22900923964	0.93503268448
CS.230	27.24769	186.0	186.0	4.9342282806	0.930726888265
CS.142	34.12261	225.0	225.0	5.3425463748	0.960670317311
CS.238	33.26325	217.0	217.0	5.33972992848	0.946733074676
CS.333	33.08653	255.0	255.0	5.52369029987	0.962704953508
CS.036	33.26558	235.0	235.0	5.59375229393	0.961911378461
CS.111	32.75211	211.0	211.0	5.12789817545	0.946416499615
L.007.M1	34.31006	222.0	222.0	4.71996307182	0.911350794057
CS.104	29.3725	206.0	206.0	4.80731483623	0.926019801117
CS.365	29.67791	211.0	211.0	4.66584010933	0.888167604979
T.CS.141	29.54182	187.0	187.0	4.46029122379	0.917084449625
CS.351	31.61961	240.0	240.0	5.26518675978	0.946846548737
CS.379	29.34445	200.0	200.0	4.60697370568	0.931234330755
CS.138	32.40149	224.0	224.0	5.09731086623	0.935069103441
CS.070	25.99945	174.0	174.0	4.6507619567	0.930162941802
T.CS.007	31.91281	227.0	227.0	4.6285508249	0.931439643831
T.CS.144	32.43691	223.0	223.0	4.79105019306	0.926150348052
CS.346	29.7534	193.0	193.0	4.71084585697	0.92778748733
CS.119	25.23177	163.0	163.0	5.18475802775	0.948081182872
CS.300	34.39389	252.0	252.0	5.34403878866	0.957390432667
CS.169	36.9742	238.0	238.0	4.91070401303	0.886479858532
CS.130	33.27867	223.0	223.0	5.23764433773	0.944135565708
CS.290	30.02336	204.0	204.0	4.81520207562	0.924099325449
CS.360	29.87008	202.0	202.0	5.6155732618	0.966198014136
TFSCS020	40.10526	299.0	299.0	5.31553412109	0.9557487854
T.CS.092	35.38067	245.0	245.0	4.98996752476	0.906259169383
CS.191	37.69496	245.0	245.0	4.60190873356	0.884008957391
T.CS.147	33.26931	211.0	211.0	5.11441803466	0.936282899475
T.CS.093	38.0723	256.0	256.0	4.80920286874	0.905079917895
T.CS.073	36.41904	257.0	257.0	4.91026302332	0.914580284009
TFSCS025	39.23749	336.0	336.0	5.0748509717	0.946508351356
CS.343	29.60557	223.0	223.0	5.0995585154	0.949978701907
L.006.M5	37.66293	261.0	261.0	5.14652744189	0.920674992525
T.CS.100	33.82508	238.0	238.0	5.45975386177	0.948002207359
CS.302	28.98127	216.0	216.0	4.86552117362	0.944518983781
T.CS.008	30.06543	188.0	188.0	4.27659496277	0.857753688627
CS.193	35.24629	236.0	236.0	5.43667707042	0.963692790531
CS.196	34.32253	259.0	259.0	4.8214983105	0.936216776808
IMP000.L.T36	32.34206	241.0	241.0	5.3613275667	0.952245877542
T.CS.047	37.65966	258.0	258.0	5.50395349319	0.957229779408
T.CS.137	39.69751	257.0	257.0	5.68457549552	0.969031215971
CS.113	26.19354	166.0	166.0	4.47788686453	0.900332286228
TFSCS028	38.67722	277.0	277.0	4.82334088385	0.919430352033
