	PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.003	33.0	7.0	7.0	2.45390409457	0.791768904636
CS.006	36.0	8.0	8.0	2.70741177155	0.826004068356
CS.019	42.0	10.0	10.0	2.74967269876	0.809660082305
CS.032	33.0	8.0	8.0	2.63112628076	0.807571089304
CS.043	42.0	10.0	10.0	3.04356657519	0.868371821922
CS.049	26.0	6.0	6.0	2.2615810537	0.747738257722
CS.050	32.0	8.0	8.0	2.78074307304	0.824290093413
CS.061	45.0	11.0	11.0	3.12225310491	0.874845776817
CS.075	32.0	8.0	8.0	2.22134051239	0.74273666579
CS.095	27.0	6.0	6.0	2.4023182596	0.79134815691
CS.183	52.0	12.0	12.0	2.90980165547	0.823904299666
L.006.M1	30.0	7.0	7.0	2.43442236912	0.784003292181
L.008.M1	19.0	4.0	4.0	1.59253703455	0.63635470269
T.CS.180	64.0	16.0	16.0	2.88743674456	0.81867204825
CS.033	29.0	7.0	6.0	1.70429022004	0.643215478742
CS.037	23.0	5.0	5.0	2.27586823334	0.788023219221
CS.072	41.0	9.0	9.0	2.71329800943	0.828444877525
CS.117	46.0	11.0	11.0	2.83145669282	0.817079280361
CS.120	29.0	6.0	6.0	2.28090433823	0.770555784018
CS.145	81.0	19.0	19.0	3.03662824741	0.825629930052
CS.165	55.0	14.0	14.0	3.21507906245	0.873210250768
CS.172	25.0	6.0	6.0	2.27055030551	0.763354627169
CS.199	33.0	8.0	8.0	2.46258910805	0.797738679396
CS.201	25.0	6.0	6.0	2.27055030551	0.763354627169
CS.203	38.0	8.0	8.0	2.48343452017	0.783191887963
CS.212	47.0	13.0	13.0	3.18648291766	0.8706775092
CS.214	38.0	9.0	9.0	3.0506774224	0.872208171312
CS.218	36.0	8.0	8.0	2.72328755826	0.824627305624
CS.263	32.0	7.0	7.0	2.37668774796	0.747838026875
CS.264	10.0	2.0	2.0	0.727126138087	0.323123584946
CS.278	42.0	9.0	9.0	2.81747594072	0.836855491569
CS.297	37.0	8.0	8.0	2.26130365619	0.759000091492
CS.311	31.0	9.0	9.0	2.937023757	0.851736453029
CS.350	46.0	12.0	12.0	2.4904480122	0.69720655638
CS.351	53.0	13.0	13.0	3.19088537504	0.866000570692
CS.388	28.0	6.0	6.0	2.3444230459	0.782461370772
CS.395	58.0	14.0	14.0	3.1745285996	0.856658245211
T.CS.111	27.0	7.0	7.0	1.56964299147	0.492519764354
CS.177	68.0	16.0	16.0	3.26932170363	0.84791696935
CS.186	45.0	10.0	10.0	2.99112869941	0.855993656693
CS.243	20.0	4.0	4.0	1.74711840311	0.663510284948
CS.265	26.0	6.0	6.0	1.91281222159	0.654433694377
CS.270	53.0	12.0	12.0	2.99191129403	0.849760809316
CS.280	36.0	8.0	8.0	2.57940054234	0.806480413516
CS.305	56.0	13.0	13.0	2.95732664486	0.840602619251
CS.323	51.0	12.0	12.0	2.80197172817	0.828897189966
CS.332	42.0	11.0	11.0	3.35332185341	0.896222287935
L.001.M3	36.0	8.0	8.0	2.47123004124	0.788072154837
L.001.M4	30.0	7.0	7.0	2.23633157823	0.724473975982
L.001.M5	25.0	5.0	5.0	1.75399986091	0.663119663595
L.001.MEXTRA.NOSAMPLE	24.0	6.0	6.0	1.98146814083	0.705906848055
L.002.M0	24.0	5.0	5.0	2.0652509051	0.72590275931
L.004.M2	39.0	8.0	8.0	2.71933587142	0.828015357013
L.004.M4	28.0	6.0	6.0	1.9835128955	0.680335936213
L.004.M5	37.0	8.0	8.0	2.29505885457	0.738107478285
L.006.M3	25.0	6.0	6.0	1.95155271082	0.693685595277
L.008.M2	24.0	5.0	5.0	1.95069474194	0.714374164469
L.008.M3	34.0	7.0	7.0	2.28218370072	0.74254066606
L.008.M5	24.0	5.0	5.0	2.04159055146	0.734482183441
L.022.M3	27.0	7.0	7.0	1.99033319011	0.639866588501
L.031.M2	49.0	12.0	12.0	2.93431121528	0.847654803743
L.031.M4	32.0	8.0	8.0	1.99965891798	0.612672281532
L.031.M6	39.0	11.0	11.0	2.93816937708	0.829653443913
L.035.M2	26.0	6.0	6.0	2.08745619564	0.682086363413
L.035.M4.NOSAMPLE	38.0	9.0	9.0	2.6344414866	0.811600479384
