	PD_whole_tree	chao1	observed_otus
CS.001	30.6831	503.15625	378.0
CS.002	26.48771	403.553191489	338.0
CS.003	29.286	412.666666667	364.0
CS.004	20.08198	304.090909091	254.0
CS.005	32.96577	567.166666667	456.0
CS.006	23.36151	427.371428571	318.0
CS.007	22.17021	333.567567568	272.0
CS.008	24.73155	385.081081081	316.0
CS.009	17.7913	301.565217391	222.0
CS.011	29.09822	455.166666667	356.0
CS.012	27.4837	387.076923077	337.0
CS.013	31.47012	513.294117647	433.0
CS.014	31.17129	530.56097561	417.0
CS.015	19.38895	299.193548387	244.0
CS.016	21.53572	380.884615385	277.0
CS.017	22.55492	348.2	281.0
CS.018	16.85232	277.115384615	220.0
CS.019	23.17303	357.171428571	280.0
CS.020	18.96995	322.0	244.0
CS.021	20.03982	368.0	266.0
CS.022	19.95182	362.870967742	266.0
CS.023	26.74809	475.097560976	373.0
CS.024	32.7538	549.442622951	465.0
CS.025	22.67699	402.935483871	311.0
CS.027	24.0352	340.12244898	304.0
CS.028	29.67416	497.0625	406.0
CS.029	24.87177	359.384615385	314.0
CS.030	29.41626	507.193548387	414.0
CS.031	20.0005	338.076923077	237.0
CS.032	19.09233	279.09375	220.0
CS.033	26.34165	479.25	368.0
CS.035	26.02313	448.076923077	336.0
CS.036	22.11151	327.090909091	277.0
CS.037	16.85258	279.043478261	230.0
CS.038	18.92891	302.434782609	247.0
CS.040	24.47147	360.736842105	299.0
CS.041	19.55367	356.533333333	259.0
CS.042	17.77237	277.652173913	220.0
CS.043	23.87009	389.1875	318.0
CS.044	21.57291	416.222222222	284.0
CS.045	22.41172	372.029411765	307.0
CS.046	27.30353	392.318181818	339.0
CS.047	18.00102	268.7	221.0
CS.049	19.81133	349.0625	227.0
CS.050	20.59265	318.029411765	253.0
CS.051	17.38815	251.954545455	220.0
CS.052	27.88418	421.226415094	373.0
CS.053	25.81031	512.03030303	359.0
CS.055	19.66221	359.46875	284.0
CS.056	20.37218	283.34375	251.0
CS.057	24.55892	341.527777778	294.0
CS.058	24.44795	386.333333333	323.0
CS.059	25.48023	368.166666667	319.0
CS.060	21.30047	394.636363636	294.0
CS.061	15.27732	231.473684211	177.0
CS.062	23.59919	433.222222222	334.0
CS.063	19.69364	279.333333333	241.0
CS.064	24.40398	370.193548387	301.0
CS.065	19.35521	304.322580645	251.0
CS.066	20.82671	353.5	262.0
CS.067	14.14851	240.214285714	163.0
CS.068	17.92571	312.0	228.0
CS.070	14.23759	222.434782609	185.0
CS.071	19.12041	360.894736842	248.0
CS.072	31.50669	577.178571429	441.0
CS.074	22.28206	321.142857143	280.0
CS.075	21.29641	329.035714286	270.0
CS.076	22.77987	376.071428571	287.0
CS.077	22.66411	389.083333333	312.0
CS.078	18.91121	298.545454545	226.0
CS.079	18.07215	283.8	213.0
CS.080	20.43899	364.157894737	281.0
CS.082	34.4424	585.050847458	472.0
CS.083	32.51741	576.1875	442.0
CS.085	30.31922	499.454545455	425.0
CS.086	27.9299	423.279069767	357.0
CS.087	20.4072	338.303030303	263.0
CS.088	15.3537	288.866666667	197.0
CS.089	27.73185	501.127659574	400.0
CS.090	24.25185	374.0	295.0
CS.091	18.35918	303.0	231.0
CS.092	31.63474	523.0	426.0
CS.093	28.63096	506.634146341	376.0
CS.094	15.03874	281.5	194.0
CS.095	27.52441	434.567567568	373.0
CS.096	22.7451	387.916666667	293.0
CS.097	20.72732	323.965517241	250.0
CS.098	26.9756	372.617647059	324.0
CS.099	27.62513	475.56	360.0
CS.101	25.26835	353.558139535	311.0
CS.102	21.98716	387.7	285.0
CS.103	26.07097	409.0	361.0
CS.104	23.89538	338.25	294.0
CS.105	25.1987	466.285714286	336.0
CS.106	29.38965	496.803278689	409.0
CS.108	24.27123	305.6	260.0
CS.109	30.99854	476.3	405.0
CS.110	21.99895	339.682926829	272.0
CS.111	26.73379	393.41025641	335.0
CS.112	22.15993	356.0	289.0
CS.113	20.61812	298.033333333	241.0
CS.114	24.69491	432.916666667	311.0
CS.115	18.59415	266.441176471	209.0
CS.117	22.90962	397.15	310.0
CS.118	22.94119	363.0	288.0
CS.119	22.34972	322.555555556	279.0
CS.120	26.36477	423.25	364.0
CS.122	25.29875	363.228571429	316.0
CS.123	20.14883	324.0	257.0
CS.124	13.96128	242.461538462	173.0
CS.130	25.45396	409.87804878	344.0
CS.131	30.06307	504.549019608	417.0
CS.132	26.69541	424.03030303	355.0
CS.133	20.69766	401.535714286	280.0
CS.135	19.00554	274.526315789	227.0
CS.136	24.35682	459.533333333	329.0
CS.143	22.97316	358.228571429	311.0
CS.153	28.29285	477.253521127	417.0
CS.154	11.43213	175.588235294	132.0
CS.156	14.49186	294.647058824	187.0
CS.158	22.13706	350.333333333	278.0
CS.160	23.04654	394.340909091	317.0
CS.161	19.47169	339.027027027	262.0
CS.163	20.73154	329.365853659	258.0
CS.164	17.54315	265.081081081	196.0
CS.165	16.39946	268.384615385	207.0
CS.167	18.91064	310.75	241.0
CS.168	31.26047	563.255319149	431.0
CS.169	27.84138	493.857142857	392.0
CS.170	22.78135	348.0	293.0
CS.171	25.13436	410.025641026	335.0
CS.172	23.59278	354.222222222	299.0
CS.173	21.30718	350.717948718	287.0
CS.175	16.49055	289.884615385	197.0
CS.176	23.65067	377.405405405	314.0
CS.199	20.84814	371.916666667	277.0
CS.200	33.29235	588.583333333	477.0
CS.217	26.53822	381.902439024	323.0
CS.218	29.47786	491.227272727	394.0
CS.219	26.27609	409.71875	323.0
CS.220	20.62621	334.75	265.0
CS.227	13.243	187.789473684	160.0
CS.228	23.31913	432.0	339.0
CS.229	19.39589	329.2	246.0
CS.231	21.31398	372.5	272.0
CS.232	31.07496	561.72	444.0
CS.233	26.52443	441.348837209	344.0
CS.235	26.51966	417.027027027	346.0
CS.237	23.40013	401.625	329.0
CS.238	22.82676	453.730769231	326.0
CS.239	27.65245	522.275	413.0
CS.240	19.46483	322.7	249.0
CS.241	24.31351	335.578947368	289.0
CS.247	27.3838	433.941176471	341.0
CS.248	23.68569	425.222222222	314.0
CS.249	20.79049	424.037037037	269.0
CS.251	23.03532	409.071428571	320.0
CS.284	20.48136	418.375	276.0
CS.285	15.31559	261.619047619	196.0
CS.286	19.77619	387.0	254.0
CS.292	24.83724	487.8125	330.0
CS.298	23.62744	378.717948718	315.0
CS.308.0	18.57562	313.137931034	225.0
CS.311	21.1175	355.5	273.0
CS.312	20.06306	313.217391304	251.0
CS.345.0	15.68338	268.64	188.0
CS.346	16.94736	262.913043478	203.0
CS.347.0	17.59595	347.368421053	231.0
L.001.M1	26.0635	345.043478261	296.0
L.002.M1	17.19165	240.757575758	199.0
L.003.M1	14.73221	251.526315789	204.0
L.004.M1	29.85943	532.434782609	416.0
L.005.M1	27.49635	574.0	388.0
L.006.M1	23.7554	381.0	312.0
L.008.M1	25.03294	381.282608696	316.0
L.011.M1	21.5328	361.40625	277.0
L.012.M1	28.81167	398.7	374.0
L.022.M1	32.60521	475.25	407.0
L.024.M1	22.85317	349.717391304	291.0
L.025.M1	25.62541	531.0	329.0
