	CS.001	CS.002	CS.003	CS.004	CS.005	CS.006	CS.007	CS.008	CS.009	CS.011	CS.012	CS.013	CS.014	CS.015	CS.016	CS.017	CS.018	CS.019	CS.020	CS.021	CS.022	CS.023	CS.024	CS.025	CS.027	CS.028	CS.029	CS.030	CS.031	CS.032	CS.033	CS.035	CS.036	CS.037	CS.038	CS.040	CS.041	CS.042	CS.043	CS.044	CS.045	CS.046	CS.047	CS.049	CS.050	CS.051	CS.052	CS.053	CS.055	CS.056	CS.057	CS.058	CS.059	CS.060	CS.061	CS.062	CS.063	CS.064	CS.065	CS.066	CS.067	CS.068	CS.070	CS.071	CS.072	CS.074	CS.075	CS.076	CS.077	CS.078	CS.079	CS.080	CS.082	CS.083	CS.085	CS.086	CS.087	CS.088	CS.089	CS.090	CS.091	CS.092	CS.093	CS.094	CS.095	CS.096	CS.097	CS.098	CS.099	CS.101	CS.102	CS.103	CS.104	CS.105	CS.106	CS.108	CS.109	CS.110	CS.111	CS.112	CS.113	CS.114	CS.115	CS.117	CS.118	CS.119	CS.120	CS.122	CS.123	CS.124	CS.130	CS.131	CS.132	CS.133	CS.135	CS.136	CS.143	CS.153	CS.154	CS.156	CS.158	CS.160	CS.161	CS.163	CS.164	CS.165	CS.167	CS.168	CS.169	CS.170	CS.171	CS.172	CS.173	CS.175	CS.176	CS.199	CS.200	CS.217	CS.218	CS.219	CS.220	CS.227	CS.228	CS.229	CS.231	CS.232	CS.233	CS.235	CS.237	CS.238	CS.239	CS.240	CS.241	CS.247	CS.248	CS.249	CS.251	CS.284	CS.285	CS.286	CS.292	CS.298	CS.308.0	CS.311	CS.312	CS.345.0	CS.346	CS.347.0	L.001.M1	L.002.M1	L.003.M1	L.004.M1	L.005.M1	L.006.M1	L.008.M1	L.011.M1	L.012.M1	L.022.M1	L.024.M1	L.025.M1
CS.001	0.0	0.447021417328	0.323905568255	0.52987279865	0.305308883907	0.451694052881	0.473294876831	0.422826146045	0.57529724414	0.328866639905	0.326443956669	0.357718692183	0.324788419679	0.508702749599	0.451286185172	0.453597784531	0.554280823793	0.443796381003	0.531486659383	0.524066057045	0.516907312638	0.405716151179	0.288383671181	0.472271021412	0.413417362195	0.396181377906	0.382840281125	0.35284470312	0.525865614331	0.507334763161	0.435340523802	0.430609277374	0.499202762204	0.578444035277	0.534384008328	0.416277708178	0.562615646923	0.550580958489	0.464807452242	0.486773459698	0.470238628601	0.336218937505	0.544229635816	0.470252829966	0.522787772002	0.591799842164	0.395346205682	0.465018583593	0.573354812932	0.525719846437	0.439935182298	0.466875918035	0.39833951649	0.543189993036	0.617757087765	0.437825757002	0.561317733178	0.435235512521	0.551268276597	0.488397801404	0.681487609723	0.58311401329	0.675388855273	0.557928532153	0.376119342967	0.456160212572	0.471033488741	0.514532929081	0.448409310962	0.559183672284	0.583374883195	0.551982742334	0.369803153834	0.328157983563	0.375066692984	0.382769331967	0.534354679495	0.618938536693	0.397463208012	0.417119330323	0.574318341309	0.361120388716	0.385885918166	0.616966165735	0.375801391161	0.465024918688	0.54914713351	0.380364951386	0.335608441927	0.365560700392	0.448437840608	0.401739514896	0.38729133634	0.41517952732	0.411299173554	0.377627549168	0.348029445432	0.544834640206	0.383899763708	0.514956097605	0.485122067319	0.460432128694	0.60098112809	0.471059297579	0.468669782578	0.452779611736	0.396081907747	0.408195616569	0.479493989548	0.653761047937	0.414778293129	0.381750590066	0.433368800513	0.529280566067	0.574362146601	0.496172118597	0.449668053857	0.421068906415	0.743299373906	0.668603958914	0.500336443758	0.462813307955	0.580351507061	0.549583490723	0.637284291721	0.643170704225	0.516147312511	0.389191667343	0.409678155672	0.449279624749	0.466728106548	0.477221397056	0.494869440253	0.575724272859	0.421110092106	0.499210160275	0.359738431718	0.389994901674	0.400170191945	0.353681190569	0.474027182965	0.724825181321	0.480836259478	0.564405540681	0.570983117141	0.362294789834	0.421140846058	0.383729804308	0.533025435353	0.479830499663	0.446692512721	0.535509590691	0.362587949334	0.425527714984	0.49884822623	0.567197428206	0.521072039566	0.579353384473	0.665769516142	0.575833019576	0.467777999171	0.435377348027	0.590285192773	0.505619727899	0.579947452681	0.68056977988	0.67701582316	0.615338439971	0.429349426616	0.584216003485	0.644945261115	0.407877442717	0.437518547593	0.435345720808	0.457563225162	0.495934209958	0.411514515094	0.372149771364	0.468161491177	0.440324130882
CS.002	0.447021417328	0.0	0.396567669859	0.337728251562	0.399865860358	0.395781789441	0.420630190948	0.409269107293	0.457652416468	0.443313445083	0.452481498791	0.377700155518	0.361140797672	0.487072232061	0.4093282492	0.417477354102	0.499728261998	0.318361351196	0.417923558735	0.418907176803	0.39636028113	0.389084368528	0.386278431788	0.407692222987	0.429163456462	0.371280801735	0.407646104445	0.37740715887	0.465704755112	0.434373408141	0.371475726587	0.405466571966	0.426551813898	0.495010719591	0.409949791706	0.412851500185	0.422021260261	0.475371227145	0.430393839993	0.428855979342	0.388307413015	0.417737637592	0.476375787348	0.489274934822	0.493919582702	0.490688720927	0.365041858826	0.357200274292	0.44990722939	0.409396665699	0.406587890829	0.371432088463	0.424534579608	0.476449261501	0.533351523765	0.396106996436	0.465623223499	0.374677038069	0.486625779995	0.397628671335	0.587503667132	0.49131306461	0.573931270472	0.463679909454	0.374993555387	0.405236877559	0.431191964771	0.437771449354	0.410574092961	0.44912337517	0.489943145639	0.442677164152	0.378854802538	0.420199134023	0.362583781238	0.388211867334	0.425749411187	0.53569576255	0.358770478455	0.408681386335	0.505163460128	0.420860230829	0.412394280679	0.528695025515	0.355766903718	0.404498842574	0.430295037189	0.458521188832	0.423216172973	0.450106458481	0.450992597658	0.389251847534	0.333418013528	0.395767623728	0.365326910571	0.473485121883	0.395263079292	0.415478983797	0.383650732621	0.403428152094	0.423994935996	0.383677813182	0.501785951666	0.392145891678	0.349843610568	0.447294083161	0.359621200459	0.395769299635	0.429111954624	0.562445446197	0.411897058527	0.364404495266	0.39039060852	0.406942146305	0.504891046255	0.406034646534	0.408066320606	0.364755497924	0.64971828062	0.556096486746	0.40648818813	0.360153052492	0.498774603874	0.461113158865	0.517510908018	0.551902150883	0.454758868951	0.370059289374	0.357759091042	0.381107190032	0.390193923647	0.422832612781	0.469772698531	0.523371055664	0.39558005463	0.410469056836	0.400818476226	0.405605375233	0.43540918253	0.432150369604	0.391469591711	0.635953802473	0.389021231919	0.425212200422	0.481284076572	0.392228141071	0.418782825113	0.378751445157	0.389281299066	0.377007329298	0.364547703924	0.44146101816	0.428297757408	0.413345373546	0.427584140642	0.459256739053	0.398071398558	0.447447691636	0.561692994553	0.447561289483	0.399987343287	0.413860692348	0.503124074072	0.401984209572	0.449797927592	0.570615917443	0.555034035738	0.521735689641	0.462584618067	0.511423999891	0.551452187814	0.4234558036	0.400078360035	0.383695183266	0.423136688023	0.451131158962	0.431453760837	0.459440498732	0.4718603081	0.40102848429
CS.003	0.323905568255	0.396567669859	0.0	0.486735635355	0.255454457306	0.438405763786	0.418390500054	0.387238783979	0.533021681239	0.381865005524	0.36280652839	0.348514954831	0.316825456219	0.479570149754	0.42547825796	0.427756639001	0.519459990752	0.382564487415	0.483719353305	0.494280957466	0.514965013874	0.375179672641	0.289378811445	0.447770142205	0.375591774562	0.347648165477	0.409620839288	0.37348770659	0.511529594246	0.488395897719	0.40619367327	0.392973893478	0.461921434492	0.516136149181	0.469609883898	0.372335732455	0.557978853757	0.522115489401	0.46283849826	0.45927238897	0.421345811664	0.352878426341	0.553750560843	0.478552308729	0.512735716002	0.569137441642	0.371230615868	0.449462749295	0.544364312991	0.483065675949	0.407861794688	0.440053904615	0.399160795009	0.53527429547	0.566784291377	0.429886528276	0.526275692577	0.431030940759	0.533618020614	0.441292534379	0.640647401521	0.558972839102	0.657977024069	0.527432221418	0.343071502609	0.422679642962	0.468614140636	0.487477780253	0.412568458795	0.514440962871	0.559291457658	0.536677390344	0.363752182724	0.349505947326	0.342146998631	0.332435177589	0.513985104325	0.582783433313	0.39886163812	0.42843023406	0.556529479165	0.360145119472	0.375690164585	0.596341568072	0.354527175449	0.437307408142	0.485254090012	0.35836181657	0.325276812327	0.35615350705	0.428211361428	0.382878785223	0.388087432621	0.386722163217	0.409681766414	0.42451952126	0.372755588103	0.509881830623	0.368788298094	0.50722435799	0.462243490881	0.45737932083	0.578049344028	0.463738085981	0.428017823378	0.468711558924	0.379782704645	0.385005886316	0.451278142442	0.620097368225	0.381712211223	0.376970227671	0.389369009916	0.470401311233	0.567613798995	0.471329967054	0.42946404073	0.431986107087	0.717195380557	0.614640466121	0.470966596682	0.432375080617	0.565416544685	0.540583661028	0.597235818435	0.618647004292	0.461682041343	0.376834210555	0.376026862595	0.414224101305	0.421388907502	0.408263374674	0.479321241005	0.556158410633	0.396769411319	0.451556531279	0.362124718933	0.356147739992	0.394447601666	0.372194220745	0.446346383114	0.695322992612	0.441890400937	0.532355363629	0.549995930817	0.384263901507	0.405059018935	0.365147902489	0.483912145046	0.406564691393	0.418350906765	0.497463607647	0.39463593844	0.397706169885	0.485707155341	0.520756936358	0.484828248668	0.550234124702	0.627415746796	0.535179354893	0.457887198295	0.44576297473	0.558746989461	0.476702725606	0.55031203402	0.644751950324	0.646838124958	0.566965590265	0.432975032976	0.560044799494	0.61467696459	0.398854612075	0.411542111135	0.402733109288	0.407840075084	0.473682566532	0.418495632314	0.354747864524	0.486992689046	0.377992005074
CS.004	0.52987279865	0.337728251562	0.486735635355	0.0	0.52287140361	0.471325044292	0.450975266748	0.503732860727	0.420615377045	0.522945903039	0.529648496269	0.479835716891	0.487975228567	0.502951357875	0.405354351225	0.479288609136	0.426781218985	0.413848778273	0.382020977584	0.420819995332	0.41262578241	0.471525140159	0.512621348291	0.436580152426	0.479352932276	0.49576401979	0.428126805143	0.468247656336	0.491270954058	0.44439471891	0.46084377095	0.474689769413	0.417494484755	0.45141229862	0.426532311214	0.434182230206	0.465189591573	0.418884081809	0.444467448962	0.419753381483	0.381268230098	0.463116157783	0.477222717823	0.525230549926	0.486261793682	0.4556468847	0.474201054498	0.419531331254	0.397978214962	0.406926420564	0.508662711005	0.371426815946	0.48659291324	0.488247716889	0.488617818762	0.42673945443	0.423596656294	0.451346309229	0.453723678298	0.440879385906	0.519252256886	0.425488258797	0.54451848701	0.429230951079	0.482237543745	0.442803671192	0.430157104214	0.451767188489	0.405133514661	0.481054861804	0.444991887527	0.482991340679	0.510749492789	0.535718988409	0.479832930378	0.490153994489	0.47342272795	0.531209794013	0.434269814511	0.493558676308	0.463597471487	0.515593144545	0.507204273594	0.503810263856	0.432430180888	0.377164007795	0.457742710338	0.526984244244	0.498946587453	0.508673962656	0.496570129987	0.416434608248	0.398523552549	0.483948104127	0.460288293504	0.531182866917	0.500512544723	0.433596454527	0.439173614116	0.422639845288	0.449211614653	0.43252474511	0.474814370516	0.450794465301	0.446848366964	0.507539385242	0.461154774597	0.507019330795	0.420826225297	0.520195398961	0.504642949209	0.461314109163	0.457876379269	0.423195242477	0.476017290835	0.437252627185	0.414666396155	0.429466143229	0.625234968658	0.507856083016	0.444270680947	0.388161155033	0.460029301502	0.4778753405	0.537037418662	0.537211227904	0.477878807633	0.479009015308	0.456200167061	0.427544448867	0.460364455307	0.424832068323	0.516390472159	0.524125866365	0.391059275921	0.443027843587	0.530251048664	0.498454335751	0.534180096491	0.470541522105	0.41384323274	0.584600787103	0.412182202188	0.41384775974	0.493234362414	0.507953729799	0.486548861025	0.414486861288	0.409277617339	0.421367751544	0.445596868948	0.447272298949	0.500902926305	0.513341495492	0.438032594289	0.423854239815	0.40021059771	0.450709421936	0.489707546349	0.448702470358	0.469428240425	0.461143444388	0.49855497335	0.438857775117	0.433830629163	0.5349102808	0.5226798419	0.497244997222	0.519618816638	0.474219397918	0.535442362227	0.513285682815	0.481847743576	0.471371015267	0.494145464838	0.464150465703	0.519516906194	0.570083875336	0.510801205923	0.463169783204
CS.005	0.305308883907	0.399865860358	0.255454457306	0.52287140361	0.0	0.397623600591	0.450351127582	0.381224928162	0.540356189753	0.352961797858	0.348104334044	0.328374692095	0.284806335222	0.507056551649	0.458395349403	0.456322562295	0.549666369718	0.415475495937	0.477237010002	0.499441171558	0.489624112771	0.355376546503	0.267850977279	0.440186035872	0.416674907224	0.369533937106	0.428006483934	0.336974116503	0.499668725507	0.485315520351	0.368483484681	0.416357328424	0.49628735544	0.566794562385	0.490358540239	0.426750255967	0.558824699681	0.544561598367	0.447993057513	0.482313262131	0.479280423734	0.370462718798	0.551555179788	0.475133750947	0.497188739695	0.576676670141	0.383455980022	0.433298805677	0.554965981501	0.519571741774	0.434176963319	0.431049060357	0.408984990897	0.52022001629	0.587284500745	0.418804071055	0.553932655236	0.454331312846	0.550268605369	0.463248506886	0.651230271991	0.572057243996	0.660470839362	0.53473679591	0.30261929522	0.445138679377	0.477460530886	0.498396323463	0.435545781406	0.545470297745	0.580954374879	0.51293864748	0.318583980292	0.309213076058	0.342487434751	0.335846502214	0.499126437273	0.590704556286	0.398698964443	0.433040075257	0.571513062075	0.362663808363	0.362864554402	0.613664232143	0.368185292022	0.442325855533	0.522437350986	0.37116063701	0.353055690028	0.386874972126	0.453283199301	0.404864674853	0.3939610655	0.399877469085	0.394920306419	0.417837686627	0.360230895516	0.515660516207	0.378045805193	0.517446441836	0.481607044741	0.468955965611	0.606111168484	0.444602341529	0.441676914826	0.490200927188	0.372334045699	0.407589844896	0.469463675747	0.627387232758	0.392206320348	0.390821770849	0.395717947732	0.488558874136	0.593551119488	0.481497061808	0.441708359333	0.41847733061	0.722583518649	0.622098452004	0.487596596032	0.440441002041	0.587227312773	0.541680426796	0.596651284421	0.613991475378	0.486286640351	0.373534594992	0.38279157459	0.431412758127	0.433169432256	0.435535985116	0.474529369967	0.565305781441	0.446852800011	0.469612309099	0.35244052604	0.372665957798	0.367810674954	0.382349375351	0.475786694243	0.694858123828	0.458092419834	0.548259685817	0.554814144462	0.356378674333	0.406634847681	0.382364322587	0.492836374351	0.431912712735	0.406986653982	0.508512589028	0.386994870027	0.404870953537	0.472981361688	0.555914393291	0.48652533791	0.555518109019	0.651917096912	0.560236599424	0.460876205773	0.444199011371	0.561293818085	0.490958716209	0.575208893816	0.658765143606	0.634778391738	0.581536304394	0.398356225935	0.567914904187	0.628222089033	0.326129875389	0.376730335124	0.415041759379	0.37866391667	0.475398581832	0.35292530508	0.311729788113	0.462806057353	0.377793467006
CS.006	0.451694052881	0.395781789441	0.438405763786	0.471325044292	0.397623600591	0.0	0.465816253984	0.349168612652	0.43210188394	0.466442663633	0.446173559664	0.412650765469	0.391052907832	0.420666401415	0.456872599241	0.429608893647	0.488670051082	0.4126637495	0.399873445808	0.393874038436	0.380995295491	0.347857968063	0.414338886248	0.423227263029	0.455544117968	0.425546991938	0.455936684584	0.422639103825	0.487643616624	0.442948294055	0.3372582027	0.439540564026	0.494563972313	0.49592002295	0.401904997993	0.477420402187	0.476979111474	0.474756505034	0.422135720461	0.45482377336	0.476663512825	0.469421534541	0.480534322542	0.425131166599	0.42341744206	0.54556973275	0.428569807727	0.411542300772	0.463570265406	0.485656677161	0.483013672698	0.405979395192	0.481016177659	0.411776231823	0.492577357233	0.417551838221	0.465997677004	0.441207885877	0.543203207382	0.377297406472	0.571904802334	0.506799420618	0.567897199982	0.456672157197	0.396130944551	0.397329676928	0.493072907826	0.446048791396	0.462116620277	0.475081065852	0.536042399081	0.405286378898	0.431770771867	0.388830005017	0.410498796935	0.413687683516	0.382406106015	0.467840254167	0.407219878983	0.435389189601	0.516782794396	0.46546402928	0.397425461015	0.486279832215	0.410461246849	0.416284648682	0.447095773657	0.481460017932	0.382759120536	0.46784320348	0.37698529867	0.412341426785	0.395783205332	0.421601794218	0.415155288833	0.480620654524	0.438101047529	0.427630304137	0.434131386515	0.461928009561	0.43021501024	0.476670335272	0.521052854212	0.382083065261	0.403185029026	0.515034103593	0.399231779799	0.410803993021	0.388693911636	0.526764927627	0.419989920918	0.452224569857	0.406430445609	0.319176022133	0.543218566127	0.446169716637	0.422643625219	0.410890312387	0.627900667088	0.484648675957	0.426237690544	0.389993533337	0.49762840845	0.455103883486	0.482967970535	0.506616212359	0.42409986829	0.404594903885	0.425897625791	0.44530623783	0.465092762185	0.378495111584	0.379819877984	0.475761850196	0.463203253765	0.404931582172	0.442906665692	0.396171811747	0.435254167622	0.463236480146	0.385567939586	0.617600162544	0.400760827263	0.488782165697	0.544686510833	0.41334953897	0.41051395653	0.43931476637	0.42999556815	0.394261329069	0.397617563839	0.445135231788	0.434933645154	0.485526111197	0.48763191817	0.511241723267	0.433713712592	0.477950297082	0.563921960312	0.476955754512	0.462523517302	0.49277387767	0.47040352889	0.416568233971	0.513689423901	0.557020487447	0.561758179494	0.47913150647	0.42476263082	0.515079102951	0.47916694114	0.413273292003	0.363445044869	0.413718397697	0.366122664916	0.448200842779	0.399511262557	0.450876024621	0.417976755753	0.409397838541
CS.007	0.473294876831	0.420630190948	0.418390500054	0.450975266748	0.450351127582	0.465816253984	0.0	0.412229907253	0.494750660123	0.466696813281	0.420959923525	0.44401355011	0.458413892959	0.419152228523	0.437762206767	0.379000387082	0.490272522575	0.380835085161	0.420655928141	0.470694860546	0.455196626535	0.445018099703	0.441203874909	0.439680039635	0.428230772659	0.423045862563	0.436889581065	0.444267083246	0.489635355333	0.420521241839	0.426123084071	0.450110292143	0.479463946016	0.489142504483	0.412893604056	0.426407865518	0.527135499052	0.482918169471	0.420857307003	0.449328125565	0.452837712201	0.44496041188	0.470909341442	0.467518273754	0.487418933235	0.544003574627	0.428248537897	0.468495493474	0.485983764083	0.489674162134	0.442680545609	0.43636523415	0.428161024757	0.520330416929	0.470550540101	0.428552446763	0.543665492708	0.465658315684	0.532926761194	0.446319192982	0.596440893858	0.525466786897	0.609043482912	0.467275391843	0.421558266037	0.430731174855	0.439335256639	0.479477035747	0.403019402353	0.468774402133	0.545334535362	0.486576953555	0.489980880908	0.47299720498	0.458352901509	0.445432311603	0.434265488678	0.533521678521	0.444162389069	0.480593072637	0.533434965564	0.487633890412	0.464802169535	0.54507444338	0.443062229739	0.441356328157	0.476258996894	0.439891332262	0.41304218962	0.394402169112	0.451372805104	0.411337582177	0.406887180768	0.434506362422	0.47169365022	0.466296726715	0.468270972318	0.478751539962	0.425126865138	0.507395155194	0.391999518972	0.503160872824	0.559706771269	0.420905565733	0.442156808575	0.501273347367	0.412650268461	0.420529638261	0.434907965545	0.560746691905	0.369402158487	0.444495533603	0.424918748886	0.438852756507	0.564511608157	0.499868452022	0.409032454513	0.45016266777	0.644842897414	0.554118124956	0.480497834807	0.453757106834	0.558741746196	0.532195106764	0.563533921206	0.556046611229	0.418316882193	0.45928963285	0.434093102276	0.382651108034	0.432919361448	0.404086123501	0.405529272837	0.476581146466	0.456679398312	0.453732588997	0.448314991506	0.411064709037	0.464033091287	0.474720296805	0.392142026311	0.624155326981	0.46113245921	0.510574942632	0.49182898406	0.456002967063	0.445250179439	0.425109877101	0.482017858559	0.376693448218	0.45053691845	0.479130853432	0.41694064888	0.436696209824	0.469174782724	0.524103680714	0.482145567266	0.52296403368	0.602247765825	0.524039980661	0.475265756361	0.443906050594	0.486627474664	0.46950497941	0.533323586345	0.62461213017	0.611358106559	0.493587373551	0.500021613203	0.498822684097	0.554922652314	0.433148459834	0.427946569904	0.44928424909	0.425274065761	0.42094349535	0.458334379115	0.486536982784	0.470886707053	0.415068048889
CS.008	0.422826146045	0.409269107293	0.387238783979	0.503732860727	0.381224928162	0.349168612652	0.412229907253	0.0	0.44388783862	0.420924439313	0.360949442525	0.361541388071	0.390599274108	0.410710651396	0.449149412003	0.38883219605	0.50528009731	0.35933667371	0.454301051499	0.421735530169	0.436678535305	0.329491049345	0.378927625629	0.409107794404	0.392047672683	0.378565998104	0.410054195573	0.377530996704	0.473583941187	0.458936148216	0.305170912489	0.400849188935	0.505076313039	0.451495435754	0.366343742949	0.42266718942	0.485806105503	0.519014277128	0.426589608849	0.443874480151	0.46261183935	0.432275521391	0.477257517933	0.433789699053	0.440881982745	0.587492580259	0.348036540805	0.42521642351	0.480510839177	0.507840961572	0.3873758481	0.467559799428	0.400739818734	0.479796011646	0.528457009943	0.405532812102	0.523658254518	0.43309281214	0.556324509969	0.414446075535	0.622339468071	0.539734040623	0.584337493833	0.516482546191	0.388600654723	0.413832437858	0.441127870096	0.458472470069	0.443443208719	0.454542009967	0.554544837486	0.42152004719	0.414325427195	0.361225636564	0.366567168608	0.391561519856	0.384577476936	0.494962275734	0.417129137117	0.487421114667	0.540640393672	0.422498493621	0.366835402748	0.499193562995	0.384705383773	0.39731852605	0.468494883177	0.408267797615	0.41427581478	0.38449852149	0.429832724843	0.396319799638	0.41093553213	0.363272115056	0.402364872644	0.437186099527	0.406541660591	0.454894852636	0.406758777783	0.470343077289	0.396950755454	0.473453075318	0.552520361274	0.392870443711	0.427154068016	0.491342758448	0.363426252149	0.343421854714	0.392938873828	0.553158289135	0.33949441866	0.400505466547	0.415531726362	0.394752519749	0.565362516077	0.502339923684	0.37185178966	0.443342759987	0.643567145408	0.524302311888	0.443113320927	0.425845565257	0.536172112348	0.510787702419	0.528145265347	0.535945690721	0.401922357244	0.405027045766	0.405841807797	0.397400243327	0.435780986358	0.383576778575	0.381221866625	0.520139721562	0.456449499055	0.429793408601	0.39815068132	0.316771167182	0.382970504476	0.458199277215	0.375639113362	0.636338499448	0.451867285825	0.509179399738	0.560871661984	0.382206169859	0.400610224728	0.405040699288	0.474444751186	0.391184419238	0.414513928845	0.461139010571	0.392988990948	0.441196581094	0.453591197807	0.523759691041	0.451848925298	0.520072011325	0.605664089021	0.530013392717	0.446369769887	0.458954138269	0.498020698218	0.444609655086	0.534425034509	0.615228978444	0.607786312324	0.482468663439	0.397012535447	0.498193456034	0.504557330893	0.367169418311	0.356741970743	0.374886001925	0.371643166803	0.377965474178	0.368586483787	0.448000056302	0.414841844691	0.389068034314
CS.009	0.57529724414	0.457652416468	0.533021681239	0.420615377045	0.540356189753	0.43210188394	0.494750660123	0.44388783862	0.0	0.51710048273	0.53020139893	0.51899738472	0.501371527565	0.47541135528	0.434872551642	0.460953771646	0.459505777139	0.450042812285	0.405378065671	0.414530068555	0.399041031044	0.451643977529	0.53470633016	0.460805944956	0.513411691113	0.518838173756	0.496068238196	0.53342661566	0.494713425648	0.463688426023	0.438646592016	0.477369274118	0.460660295509	0.41816134591	0.400066140678	0.532848364924	0.4509220433	0.456869260502	0.483242316346	0.458747317975	0.457026029781	0.544490912031	0.462256405453	0.478992143897	0.450101471969	0.481500825519	0.483590580731	0.461655352959	0.462752011164	0.420305992273	0.507021896076	0.458949089691	0.489720550592	0.444988746668	0.442354831963	0.436121279078	0.440948733188	0.514633552197	0.435894931108	0.409552975694	0.510085206467	0.424461098091	0.497777308757	0.467464079869	0.51185897523	0.429254571909	0.453618088941	0.476736834122	0.470905352438	0.457002501419	0.484958769158	0.442519506042	0.548142766133	0.534672870656	0.501430649477	0.502577189596	0.3876557113	0.422367586211	0.483849888878	0.505586214888	0.50464299084	0.537520645898	0.512007374853	0.432289356151	0.466524810167	0.4170174413	0.433744022641	0.541145669376	0.546344899901	0.525323140423	0.512692889103	0.485503050417	0.455870456142	0.489344767788	0.482137974033	0.559836298228	0.546818567663	0.462553620955	0.489625332858	0.430661533379	0.450587684306	0.498316685158	0.499225595961	0.460842176358	0.434107761245	0.52570800211	0.481097683468	0.480568828671	0.421471820623	0.464974037206	0.508494580155	0.49247281816	0.480699114512	0.37343741812	0.461903983635	0.460348835128	0.474780128215	0.474246959032	0.55144684652	0.387192726092	0.397003763362	0.410217501068	0.478904556266	0.456699222357	0.496875229981	0.444555953115	0.450086993243	0.515975155204	0.490511088948	0.495629936529	0.507331783138	0.434028705382	0.492785713983	0.468925965757	0.464177645879	0.422154190928	0.544794508217	0.50790686653	0.522967067236	0.516994493002	0.455470689833	0.544006388032	0.472989732997	0.410350728178	0.495675362105	0.516137593451	0.481927822278	0.490310394453	0.438846916801	0.473607212795	0.479701813301	0.424846463654	0.515368761779	0.534089839732	0.445817172419	0.457301666701	0.451881690156	0.42578182038	0.482069915706	0.447274696161	0.501381251402	0.514371081364	0.459296478154	0.424403028349	0.489998037423	0.493949646373	0.523411671194	0.477280061963	0.473688716695	0.46552279239	0.472728322901	0.537791900136	0.459519381844	0.489315832973	0.474577442438	0.433585492339	0.520027107819	0.576949044189	0.503975035621	0.476381064144
CS.011	0.328866639905	0.443313445083	0.381865005524	0.522945903039	0.352961797858	0.466442663633	0.466696813281	0.420924439313	0.51710048273	0.0	0.343188945598	0.366795836334	0.328966670835	0.518304393916	0.470901062344	0.463960427603	0.550097106066	0.444438591761	0.526787468359	0.488207765581	0.465748368549	0.402515696285	0.327329675123	0.455287504811	0.422751875923	0.372944184584	0.433829350339	0.387161342906	0.459266139686	0.473952996135	0.420570521806	0.402258870043	0.47563912017	0.555171672173	0.498816766871	0.432475193637	0.531814184689	0.510365494562	0.450735653492	0.489336449796	0.462414635704	0.379986270522	0.532410263697	0.497922070583	0.521596100819	0.57545571969	0.369320011046	0.437164266659	0.560271278403	0.502475723321	0.424431365882	0.442334018891	0.364684756919	0.529673506099	0.59484365352	0.455181347758	0.545364618379	0.440259588438	0.523983943788	0.456548971598	0.634914427126	0.568701748704	0.637077528664	0.524797536324	0.360629348308	0.436620014015	0.442452693731	0.493660102271	0.45264240669	0.545319104905	0.563571584094	0.522603882842	0.371653516671	0.386300072572	0.360685661313	0.373607018218	0.495425073382	0.589213103724	0.393809546689	0.463441770712	0.568017177494	0.344983197207	0.403280222908	0.595100784748	0.372975580825	0.448399880166	0.530669526755	0.412305759962	0.392202586383	0.391252203771	0.474338252686	0.420215864049	0.380453564441	0.397042833858	0.403119559071	0.365337758637	0.335084866768	0.518514663458	0.409686973404	0.48566544643	0.466010939887	0.461049715301	0.573492019101	0.485137359853	0.436248612846	0.474719501692	0.416931638881	0.435404342513	0.475034116382	0.606396668259	0.402508912502	0.366555821655	0.430384970936	0.493913758843	0.554607526992	0.495676850635	0.414927354031	0.417558077624	0.701729282943	0.629696949502	0.490232756599	0.454466344586	0.554679460817	0.547577768943	0.597164695667	0.610089856927	0.49577736099	0.388156000831	0.411107480377	0.441271377864	0.468259773947	0.454526122823	0.519545196615	0.558640627702	0.425501678555	0.477544971326	0.38004300805	0.410014463393	0.401847847261	0.332385905918	0.466565659805	0.678812463239	0.466927300252	0.535526847053	0.554173398124	0.3799848103	0.397918083999	0.364178556628	0.504885759714	0.467564593985	0.452644528793	0.518323760707	0.407729402064	0.42928401773	0.467251766465	0.544978646594	0.508492546831	0.557471766009	0.644254678767	0.552793830075	0.466714179596	0.426931784143	0.57680853452	0.509152629527	0.581241710177	0.657708786568	0.642988246944	0.58097534114	0.400906086311	0.570727276152	0.635595085451	0.413283253954	0.406217755199	0.437935615436	0.449098545313	0.483924624754	0.421663130324	0.409443872472	0.484638672561	0.442895884959
