	CS.079	CS.145	CS.146	CS.165	CS.166	CS.177	CS.178	CS.181	CS.222	CS.248	CS.249	CS.255	CS.256	CS.262	CS.268	CS.275	CS.290	CS.308.0	CS.311	CS.312	CS.325	CS.326	CS.335	CS.358	CS.360	CS.369	CS.370	CS.391	CS.393	L.002.M1	L.002.M6.0	L.003.M1	L.003.M6	L.022.M1	L.022.M6	L.024.M1	L.024.M6	L.031.M1	L.031.M6	L.034.M6	T.CS.008	T.CS.018	T.CS.030	T.CS.042	T.CS.051	T.CS.061	T.CS.065	T.CS.069	T.CS.070	T.CS.071	T.CS.073	T.CS.081	T.CS.084	T.CS.087	T.CS.089
CS.079	0.0	0.70134097	0.498104540282	0.616741224234	0.516744843893	0.427399425546	0.649422893486	0.422478501424	0.528698193449	0.672579090858	0.533957624049	0.428631983618	0.398976699308	0.419468997226	0.709507318358	0.552605738844	0.449953837004	0.386910443182	0.614265245822	0.5009661812	0.63821406346	0.455660072794	0.477053449267	0.383716059368	0.590166539348	0.501260766384	0.503344632114	0.563328219993	0.621028394917	0.805310160662	0.421371458968	0.850266913177	0.70978372217	0.732645750838	0.729269042767	0.798711033195	0.79162987157	0.651868365334	0.800054775919	0.596805204697	0.672864640985	0.604469935846	0.622659455862	0.719274740729	0.720174964209	0.656966368789	0.66870856499	0.574741344423	0.626609897852	0.665752373238	0.722647074705	0.75791319393	0.745259230833	0.679645060401	0.561275795579
CS.145	0.70134097	0.0	0.55798052498	0.59142331093	0.630087949096	0.639465536474	0.666418428258	0.664517017846	0.752799939188	0.698081707622	0.683580378332	0.619226514899	0.677177278569	0.628481684455	0.803679993739	0.680344605757	0.704977102209	0.761831532256	0.370500972733	0.617095148706	0.776545884692	0.67253551211	0.81671488083	0.737222530006	0.650815330379	0.767836259182	0.623219221166	0.66916415304	0.477688222748	0.785895538799	0.70360649933	0.427935407976	0.628047650189	0.630875442817	0.680301753942	0.57601625611	0.622636873515	0.709366793383	0.798817434474	0.674868168289	0.287789739696	0.454839813409	0.57077538036	0.375718888036	0.531227999543	0.458300279422	0.444972078954	0.516390558477	0.485403688443	0.400020731761	0.337392860217	0.35653087513	0.33577142107	0.444959420335	0.562664856938
CS.146	0.498104540282	0.55798052498	0.0	0.493578706339	0.420965800355	0.413476504935	0.552430152289	0.422897295812	0.571750878565	0.600940182994	0.543040157372	0.417209234655	0.489043451507	0.403055849164	0.734760715336	0.487130026825	0.551867356644	0.626035011808	0.539744526794	0.413511818988	0.659552205239	0.487701310373	0.688717391948	0.555259080726	0.453291281649	0.645539270548	0.43630411461	0.492275814342	0.561747696544	0.694705490753	0.488346538659	0.768832222832	0.58449928526	0.623672437318	0.670360269936	0.708614693799	0.745978122403	0.567920437811	0.735300315863	0.50939987569	0.60162010493	0.533203988358	0.466750333578	0.606424638085	0.622409224966	0.549678255202	0.560205138537	0.457632008884	0.507321704732	0.535143687499	0.601563648516	0.677968494236	0.583959701534	0.59653707499	0.371216204825
CS.165	0.616741224234	0.59142331093	0.493578706339	0.0	0.519749668456	0.498650261953	0.641464977084	0.556203037266	0.640930430455	0.749676564099	0.637657410104	0.57027279018	0.563661815119	0.525157023905	0.787284953113	0.618336896656	0.6727021308	0.695288389209	0.599552558651	0.53982513974	0.719692364457	0.610909062159	0.678054065393	0.575355808105	0.525612429733	0.681245221538	0.630558450547	0.495223239725	0.610234660768	0.80806668271	0.659984441129	0.726422346257	0.552447110389	0.692894836432	0.715675417184	0.650778351697	0.69189014458	0.669608446148	0.821243359208	0.582453873291	0.575961190941	0.485237040027	0.517455031842	0.57321024053	0.54477877074	0.579438776896	0.539940609628	0.439630991566	0.51254108269	0.548259727059	0.537234914812	0.642233653459	0.560433357963	0.540699692073	0.505192487754
CS.166	0.516744843893	0.630087949096	0.420965800355	0.519749668456	0.0	0.378509058241	0.42744655551	0.427376240614	0.488520942116	0.563502409082	0.520158741722	0.429020376081	0.53026742367	0.429249976468	0.704928853677	0.532250955546	0.550304803559	0.594748749845	0.630609372775	0.356377616365	0.571796540312	0.497596952566	0.676706445866	0.53103358994	0.51147639249	0.586425334499	0.422800292524	0.441287602122	0.667372043761	0.776109462495	0.576037509969	0.816431004392	0.698390197742	0.689884073875	0.757061230013	0.773727176117	0.785908720619	0.539167862614	0.803050851165	0.529823248912	0.677736831573	0.582455587462	0.55831930367	0.673108164532	0.701685228572	0.591386338265	0.611105713128	0.5270612823	0.596769871154	0.614371320566	0.657286285679	0.746081329432	0.62047147635	0.646415013393	0.378077863121
CS.177	0.427399425546	0.639465536474	0.413476504935	0.498650261953	0.378509058241	0.0	0.570096788954	0.317016077343	0.437308116102	0.586152764068	0.465343683991	0.358981042409	0.353337833603	0.382321882804	0.701890164663	0.507575901786	0.53542773993	0.582984916002	0.611067555019	0.412099617695	0.485580269682	0.463627285554	0.584388392102	0.417193046622	0.47915796604	0.567362167851	0.384175185886	0.534693529145	0.626193126828	0.750168676708	0.525131830124	0.820361536247	0.655323618178	0.696200071416	0.720087875797	0.771407572046	0.782180367842	0.6043099641	0.76310057697	0.563630481122	0.634807810649	0.585712350523	0.560345058052	0.662028426123	0.677580228965	0.677235553471	0.613022416355	0.513597329452	0.578921053653	0.620001344163	0.666636955359	0.740821969098	0.665568084446	0.615872418068	0.398055690232
CS.178	0.649422893486	0.666418428258	0.552430152289	0.641464977084	0.42744655551	0.570096788954	0.0	0.615209396872	0.607078590317	0.565046687362	0.611061878824	0.544386129535	0.67045512718	0.560921970765	0.766120261762	0.645307264654	0.646289395307	0.657770736882	0.631916353567	0.497457042875	0.617984270999	0.639771693288	0.711783620571	0.685534927437	0.687673349924	0.603658712677	0.557166982227	0.627519360818	0.652911223692	0.750152671253	0.675424949781	0.729643971467	0.722147956056	0.620681510709	0.636889511398	0.676880941685	0.690858731061	0.513008872739	0.790275471658	0.512463601319	0.630800194031	0.604190223521	0.635021214235	0.648564246329	0.727455435609	0.600456161772	0.619525694162	0.574310488791	0.60627548356	0.615747740031	0.701316371406	0.733591372593	0.637740697986	0.653415779794	0.49929023667
CS.181	0.422478501424	0.664517017846	0.422897295812	0.556203037266	0.427376240614	0.317016077343	0.615209396872	0.0	0.532511784561	0.605399296998	0.482146703224	0.382217294625	0.461577705801	0.397517857234	0.631751729392	0.488914356267	0.585395034874	0.573455889862	0.581965948582	0.44486187038	0.533118175745	0.486778196679	0.638798118448	0.50858190667	0.502037300441	0.561770327063	0.426550528996	0.506586629142	0.582655945073	0.774298122681	0.546927646035	0.840130993601	0.675173732815	0.717493095641	0.720044441801	0.782429650842	0.785469450429	0.642580489686	0.819869732144	0.564468524283	0.645180187024	0.545812242411	0.570889436703	0.674880897743	0.666584364935	0.60503610241	0.640579313089	0.49683930644	0.598281604277	0.655316837808	0.673595680613	0.740271540376	0.661718471199	0.635789539488	0.426491912683
CS.222	0.528698193449	0.752799939188	0.571750878565	0.640930430455	0.488520942116	0.437308116102	0.607078590317	0.532511784561	0.0	0.643500767003	0.481151439206	0.491944888356	0.587425258772	0.492112514449	0.763299792153	0.489234266681	0.498725285008	0.424208274314	0.705303892633	0.497476204586	0.521567406017	0.505919461102	0.433400845824	0.507119513104	0.706566587454	0.448325624102	0.473325356065	0.549564582461	0.720637727087	0.751700615008	0.541649306044	0.806519734247	0.755226713125	0.731508022097	0.790869721702	0.775074061054	0.811119008394	0.678604525974	0.833063115571	0.605443195792	0.740286856432	0.650300839432	0.681758604871	0.769601607831	0.828110034476	0.707051186956	0.747283187598	0.685114496761	0.696204712884	0.688841275245	0.799494924906	0.824702926399	0.687726846048	0.796578107934	0.517532006687
CS.248	0.672579090858	0.698081707622	0.600940182994	0.749676564099	0.563502409082	0.586152764068	0.565046687362	0.605399296998	0.643500767003	0.0	0.640935491339	0.566930635002	0.585489806586	0.603426057319	0.637358183054	0.650406433939	0.665979768303	0.665546093127	0.683292610415	0.500885765942	0.692533205715	0.592823830054	0.793253083746	0.724705962296	0.677867832444	0.719736008454	0.562595064064	0.604850307951	0.671010111638	0.768229896025	0.699077902499	0.795573438172	0.803951956279	0.727766433955	0.769246691201	0.777332960362	0.740119193529	0.643056586775	0.776548147578	0.59002673419	0.730841364281	0.704951417322	0.672902526522	0.709956420643	0.763348618152	0.594701788024	0.667947429597	0.694260624592	0.71738247503	0.729702264446	0.785323219793	0.7975343097	0.65115804827	0.744948722252	0.54368493739
CS.249	0.533957624049	0.683580378332	0.543040157372	0.637657410104	0.520158741722	0.465343683991	0.611061878824	0.482146703224	0.481151439206	0.640935491339	0.0	0.494706171504	0.509192823608	0.482047205163	0.655190364315	0.572320691208	0.467076882968	0.520048224682	0.706631900233	0.457153002432	0.475930102367	0.446127951871	0.572193620945	0.508042399032	0.623548801667	0.429023104985	0.526974770236	0.592485966179	0.630528623424	0.721907113087	0.409654119216	0.84979690756	0.685236208166	0.724439251205	0.746984694083	0.793992145296	0.80900026788	0.607102240956	0.7885529798	0.597207981018	0.673224532486	0.582216171082	0.667046515382	0.727304251658	0.775318654589	0.624363998676	0.711802071122	0.62188922949	0.672856746287	0.699839509324	0.782363245578	0.795097138313	0.653101413507	0.750664012591	0.532119175635
CS.255	0.428631983618	0.619226514899	0.417209234655	0.57027279018	0.429020376081	0.358981042409	0.544386129535	0.382217294625	0.491944888356	0.566930635002	0.494706171504	0.0	0.357046468685	0.284326365367	0.783357117005	0.420368885437	0.426142871537	0.570853614222	0.561464642464	0.37196856356	0.595982522121	0.424643709972	0.61286657976	0.44844433419	0.41399514567	0.539172807048	0.355154588104	0.57207901619	0.615438201124	0.687211379876	0.489528809908	0.763172057359	0.673580332724	0.629041578752	0.657718405738	0.714305888141	0.760332646291	0.618987819886	0.787834781684	0.527967969125	0.652511999103	0.590762074528	0.56555025545	0.631531971519	0.68629533817	0.65993106487	0.541967173326	0.530939679507	0.555987283631	0.586805314829	0.678002221632	0.718408184902	0.62682505021	0.618461714504	0.418686070243
CS.256	0.398976699308	0.677177278569	0.489043451507	0.563661815119	0.53026742367	0.353337833603	0.67045512718	0.461577705801	0.587425258772	0.585489806586	0.509192823608	0.357046468685	0.0	0.404534577067	0.674789781304	0.625839180174	0.50571341843	0.602921188736	0.645499234966	0.423092434658	0.656358435836	0.493364166496	0.581498298246	0.515995102691	0.537304926462	0.579511333342	0.511908261355	0.563206548206	0.657358756853	0.735136933666	0.486433693716	0.804657960427	0.710529169068	0.713852083103	0.714397841521	0.807710989375	0.779662365535	0.646721373696	0.797424245415	0.556803036966	0.670961751673	0.604084178221	0.631655740616	0.658342886056	0.694235608145	0.696091397352	0.581228016038	0.54700879771	0.598345476354	0.670837822262	0.701689145332	0.742239447363	0.707372734576	0.635061784517	0.519967299063
