#Taxonomy	CS.079	CS.145	CS.146	CS.165	CS.166	CS.177	CS.178	CS.181	CS.222	CS.248	CS.249	CS.255	CS.256	CS.262	CS.268	CS.275	CS.290	CS.308.0	CS.311	CS.312	CS.325	CS.326	CS.335	CS.358	CS.360	CS.369	CS.370	CS.391	CS.393	L.002.M1	L.002.M6.0	L.003.M1	L.003.M6	L.022.M1	L.022.M6	L.024.M1	L.024.M6	L.031.M1	L.031.M6	L.034.M6	T.CS.008	T.CS.018	T.CS.030	T.CS.042	T.CS.051	T.CS.061	T.CS.065	T.CS.069	T.CS.070	T.CS.071	T.CS.073	T.CS.081	T.CS.084	T.CS.087	T.CS.089
k__Archaea;p__Euryarchaeota	3.83267372035869e-06	0.000100037559228013	1.03875976239409e-06	0	0.000945613233813117	6.61758535957179e-06	0.0484171322160149	1.75638137262208e-06	0	0	2.24047247083465e-06	0.000284570136765932	4.08736915054046e-07	1.60805360022735e-05	1.81405425577128e-06	6.18944211154055e-07	0	1.39685289043784e-06	3.03327707166083e-05	4.33465627042707e-07	0	4.50247710186394e-05	0	0	2.59491821596259e-07	2.27350233033989e-06	4.22334057323402e-06	0.000257755578976309	8.06701922164086e-05	1.68130200026901e-05	8.30647572847792e-07	0	1.73371371012133e-06	0.0332044646203234	0.0185607405312127	0.000212439193274143	4.84681375848866e-06	0.0575787005820967	0.0203417701670917	9.49062167194326e-05	2.17175431317895e-05	5.85625814385898e-07	5.62075316968323e-07	0.00821954032275836	0.000259767085945349	0	0.000134998982544433	0	0	0	6.52997683817215e-07	3.88489068888824e-06	6.31811720107408e-06	2.4510640681886e-05	9.62794999086646e-05
k__Bacteria	0.00443971027345243	0.0032178146307639	0.00360969017431947	0.00453066830258019	0.00427471127803286	0.00329529280565237	0.0031365364506621	0.00425495933098932	0.00454057565356895	0.00559482074627622	0.0106345626165646	0.00747833092823532	0.00702966183355701	0.00308132307141746	0.0107524178751723	0.00609629100776187	0.00221639815490906	0.00321765063312357	0.00646559859363794	0.00558000301692076	0.00327000362716598	0.00475816521757563	0.0150506846065287	0.00245553177020921	0.0088849999714559	0.00173752415596226	0.01478943479737	0.0249054623453194	0.00246732734242381	0.00193616603364312	0.00253845898262285	0.00196780866844947	0.00164789488147033	0.00583356314036614	0.00556898152278945	0.00302286596444598	0.00368250138672727	0.00237153355561467	0.00278686026920697	0.00386724721258268	0.00349802220581341	0.00573386234865233	0.00223256315899818	0.00355825051356824	0.00319044057123721	0.00536668151849052	0.00581488264518595	0.00348432770597882	0.00402072713177161	0.00568243276463936	0.0032316855372114	0.00375150944190308	0.00730097930816617	0.00646643223989614	0.00671510479633243
k__Bacteria;p__Actinobacteria	0.0312327529682584	0.0112186524904657	0.064532950238733	0.00870021739666407	0.00200638068479931	0.0736997834461367	0.00618478648468468	0.00702803460673492	0.0105255071102331	0.0310568588722762	0.0374395752576303	0.00914401037836233	0.120711046912166	0.00250593225591793	0.0535876810166997	0.0135499266705846	0.00595175537303225	0.00648628639674813	0.0121385007792152	0.0106030027030916	0.0124154365615433	0.0559233947888593	0.00233107214226119	0.00670037750098822	0.00219140843338041	0.00542542912356485	0.00132636357002733	0.00429947216021541	0.0328524438887165	0.0839714274734354	0.0777324151908828	0.00439703958505635	0.0199364073811127	0.011180112145832	0.00199712580943395	0.00495478479350671	0.00256181033879228	0.0734634132762578	0.166844713605022	0.00747585687273149	0.000518225511972357	0.00124386922975565	0.00402502134481016	0.00553294794291129	0.0024668483993027	0.00173007060456936	0.00284490502920842	0.00193740930147949	0.00364650756849925	0.00222909189242342	0.00106308022925443	0.00219302079387741	0.00201311009319223	0.00129293629596949	0.00816606288144246
k__Bacteria;p__Bacteroidetes	0.523490457232078	0.668280509649832	0.324378185421734	0.35076161346322	0.414382709853648	0.425317769831381	0.39907872047573	0.501909312007852	0.588804779852617	0.419806162509121	0.649684525472732	0.327210603103173	0.357095049521543	0.406066572249556	0.555381780675657	0.370877560765622	0.443171232164405	0.800185432221206	0.469957075759128	0.472778358621718	0.730972954672017	0.436307449512689	0.65700578558664	0.663966064120141	0.346653308027691	0.608053597817438	0.543934590778242	0.450151162054887	0.532049431152172	0.189425891410308	0.482571352626508	0.637735272330533	0.39009078591843	0.136333022209966	0.223252847138244	0.417722540037999	0.457285568881302	0.22302003624959	0.0288738090658688	0.449530178003492	0.747818135796053	0.591620280221952	0.45010485515038	0.533196463418516	0.538329415962218	0.571734309214973	0.474403299533956	0.477624392892655	0.578567214465597	0.50927897143419	0.629980168460342	0.691115578735403	0.647827752329806	0.50628829240494	0.468423706823198
k__Bacteria;p__Chloroflexi	1.76892633247324e-06	0	1.03875976239409e-06	0	0	0	0	0	0	0	9.60202487500564e-07	0	0	0	5.18301215934653e-07	0	0	0	0	0	0	3.28647963639704e-07	0	0	0	0	0	8.18271679289871e-07	0	0	0	0	0	0	0	0	0	2.08775370073675e-05	4.44191946000474e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chrysiogenetes	0	0	0	0	0	0	0	0	2.73396896289075e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72757226429957e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria	7.66534744071738e-06	2.13076389691436e-05	1.61007763171084e-05	1.5372946225144e-05	1.01148974543915e-05	4.49995804450882e-06	1.37812943047079e-05	1.40510509809766e-05	4.0462740650783e-05	2.15708452207448e-05	4.16087744583578e-06	2.31896502603204e-05	1.41014235693646e-05	1.37415489473974e-05	5.44216276731385e-06	1.0831523695196e-05	3.02636292254217e-05	5.15089503348955e-05	1.41552930010839e-05	1.90724875898791e-05	1.06255195033825e-05	3.61512760003674e-06	3.20714022607509e-05	1.85107246931889e-06	9.08221375586906e-06	4.26281686938729e-06	1.07929814649314e-05	2.67302081901358e-05	8.60809977918994e-06	2.02823733365785e-05	1.41210087384125e-05	1.46251108766218e-05	5.201141130364e-06	1.94452104678871e-05	3.60697627179136e-05	3.19457433494952e-06	6.46241834465154e-06	2.55169896756713e-05	1.24373744880133e-05	4.1295071397005e-05	1.72242583459021e-05	2.51819100185936e-05	6.46386614513572e-05	3.12180932723173e-05	2.62896809872401e-05	4.42217227114424e-05	2.28307102832497e-05	4.10323184217329e-05	4.1444511893356e-05	3.99478833767639e-05	1.8283935146882e-05	1.23021538481461e-05	1.77697046280209e-05	3.85167210715352e-05	2.1858048627913e-05
k__Bacteria;p__Deferribacteres	0	0	0	0	0	0	0	5.01823249320594e-07	0	0	0	0	0	0	2.59150607967326e-07	0	0	0	0	0	0	0	0	0	0	0	4.69260063692668e-07	2.72757226429957e-07	0	0	0	0	0	4.41936601542889e-06	9.49204282050357e-07	0	0	7.7324211138398e-07	0	0	0	0	0	0	0	0	0	0	0	1.22916564236196e-06	0	0	0	0	0
k__Bacteria;p__Deinococcus-Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25944785410479e-07	4.17186063315494e-07	0	0	0	6.14582821180982e-07	0	0	0	0	0
k__Bacteria;p__Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.83873203085778e-06	2.84761284615107e-06	0	0	0	0	0	0	0	0	4.95816775501509e-05	6.25944785410479e-07	0	0	0	2.98644276878594e-05	4.05624661979448e-05	0	0	0	0	0
