# Constructed from biom file
#OTU ID	CS.001	CS.002	CS.003	CS.004	CS.005	CS.006	CS.007	CS.008	CS.009	CS.010	CS.011	CS.012	CS.013	CS.014	CS.015	CS.016	CS.017	CS.018	CS.019	CS.020	CS.021	CS.022	CS.023	CS.024	CS.025	CS.026	CS.027	CS.028	CS.029	CS.030	CS.031	CS.032	CS.033	CS.035	CS.036	CS.037	CS.038	CS.039	CS.040	CS.041	CS.042	CS.043	CS.044	CS.045	CS.046	CS.047	CS.049	CS.050	CS.051	CS.052	CS.053	CS.055	CS.056	CS.057	CS.058	CS.059	CS.060	CS.061	CS.062	CS.063	CS.064	CS.065	CS.066	CS.067	CS.068	CS.070	CS.071	CS.072	CS.073	CS.074	CS.075	CS.076	CS.077	CS.078	CS.079	CS.080	CS.082	CS.083	CS.084	CS.085	CS.086	CS.087	CS.088	CS.089	CS.090	CS.091	CS.092	CS.093	CS.094	CS.095	CS.096	CS.097	CS.098	CS.099	CS.101	CS.102	CS.103	CS.104	CS.105	CS.106	CS.108	CS.109	CS.110	CS.111	CS.112	CS.113	CS.114	CS.115	CS.117	CS.118	CS.119	CS.120	CS.122	CS.123	CS.124	CS.130	CS.131	CS.132	CS.133	CS.135	CS.136	CS.143	CS.153	CS.154	CS.156	CS.157	CS.158	CS.160	CS.161	CS.163	CS.164	CS.165	CS.167	CS.168	CS.169	CS.170	CS.171	CS.172	CS.173	CS.175	CS.176	CS.199	CS.200	CS.217	CS.218	CS.219	CS.220	CS.227	CS.228	CS.229	CS.231	CS.232	CS.233	CS.235	CS.236	CS.237	CS.238	CS.239	CS.240	CS.241	CS.247	CS.248	CS.249	CS.251	CS.284	CS.285	CS.286	CS.292	CS.298	CS.308.0	CS.311	CS.312	CS.345.0	CS.346	CS.347.0	L.001.M1	L.002.M1	L.003.M1	L.004.M1	L.005.M1	L.006.M1	L.007.M1	L.008.M1	L.011.M1	L.012.M1	L.022.M1	L.024.M1	L.025.M1
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0289688205223	0.0	0.000618374558303	0.0	0.000978977741138	0.0	0.000934717370984	0.0	0.0	0.00292153589316	0.072084584024	0.0130188679245	0.00141002291287	0.00214003511853	0.0	4.91183260474e-05	0.0	7.00329154703e-05	0.0	0.0	0.0	0.0	6.40861317611e-05	0.0173187571922	0.000170910955392	0.000223964165733	0.000192901234568	0.000136920654481	5.08078447312e-05	0.00250429307384	0.00802894945154	0.000299814115249	0.000645078054445	0.00385388739946	0.0	0.0	0.0	0.0	0.000208768267223	0.0	0.0	8.19067900729e-05	0.0	0.0	0.00782997762864	0.0	0.0	6.43542055473e-05	0.0	0.000147961825849	0.000172186190668	0.0	0.0	0.000571755288735	0.0	0.0169634331292	0.0	0.0	5.42740841248e-05	0.0	0.00294156972857	0.0	0.0	0.0	0.0	0.0	0.000105351875263	0.00044120891242	0.0	0.0	0.000918800964742	6.05253601259e-05	0.0	0.0	0.0	0.0	0.000730574544696	0.00404497463321	0.00259796492747	6.95361935888e-05	0.0	0.0	0.0	0.0	0.000180570603106	6.91850006919e-05	0.00321038738674	0.0	0.0	0.0	0.000136258345824	0.0	0.00481406544338	0.000432563370534	0.000978872664981	0.0	8.97343862168e-05	0.0	0.00157985013993	0.0	0.015474594858	0.0153454015814	0.0	0.000204722260134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000371589340694	7.6370856881e-05	6.23014142421e-05	0.0	0.00152404606006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000360598593665	6.28022357596e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000764759865402	0.000943875698831	0.000343819838405	0.00483019989595	0.0	0.0	0.0	0.0	0.0	0.00135598058807	0.00201089233347	0.000621890547264	0.0	0.0	0.0	7.63766898343e-05	6.66755567409e-05	0.0268914151313	0.00144779424289	0.0	0.0	0.0	0.0	0.0	0.0	0.000714455822815	0.0175087543772	0.0	0.0	0.0	0.0	0.0	0.000510204081633	9.77803852547e-05	0.0	0.0	0.000593667546174	0.000519018313932	0.0	0.0	9.86290561199e-05	0.00162856625852	0.00209743540852	0.0048465266559	0.0	0.000568963064814
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.0	0.0	0.0	0.0	5.15251442704e-05	0.0	0.0	5.95060993752e-05	0.0	0.0	0.011917028807	0.0	0.0	0.00016461808604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000517836593786	0.0	0.0	0.0	0.0	0.0	0.000930165998855	0.00243130159448	0.0	0.000322539027222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000485329803662	0.0	0.0	0.0	0.0	0.00014598540146	0.0	0.0	0.0	0.000469655064447	0.0	0.0	0.00139072387178	0.0	0.0	0.0	0.0	0.0	0.0	0.00278233573518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.82072176951e-05	0.0120019495553	0.0093112775697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000677353804471	0.000215408917929	0.0	0.0	0.0	0.0	0.00285992454667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00118897228208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9098949696e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.42004897232e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000197889182058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.21104742053e-05	0.0	0.0	0.0	0.0	0.0	8.8241782484e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.95894224078e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000101265822785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	4.6055358541e-05	0.000366112616241	0.000618374558303	0.0	0.000515251442704	0.0011464133639	0.00044276085994	0.00232073787563	4.63499420626e-05	0.0	0.000224004300883	0.000125786163522	0.000528758592327	0.000109745390694	0.0	0.000147354978142	0.0	0.0	6.22083981337e-05	6.69837229553e-05	0.000454522498864	0.000290824487422	0.00108946423994	0.000920598388953	0.000341821910784	0.0003359462486	0.000128600823045	0.000342301636202	5.08078447312e-05	0.000500858614768	0.000565418975461	5.99628230497e-05	0.000451554638111	8.37801608579e-05	0.00175188165066	0.0	0.000122744568553	0.000137249519627	0.000835073068894	6.80087051143e-05	0.000381097560976	0.00188385617168	0.00230813618003	0.000623927624396	0.000372856077554	0.000213208251159	7.38225306363e-05	0.000193062616642	0.00132496111527	0.000739809129245	0.000229581587557	0.000482063230627	0.0	0.00147022788532	0.000545702592087	0.000393192158625	0.000571537435702	0.000338203463203	0.000162822252374	0.000695773177945	0.000490261621429	0.0	0.000399552501199	0.000452463095979	0.0019987699877	0.000428449014567	0.000948166877369	0.00198544010589	0.000415973377704	0.000225580870742	0.000172275180889	0.000302626800629	0.00014598540146	0.000198412698413	8.12545705696e-05	0.000662998077306	0.000626206752596	0.00082270670506	0.000541242693224	0.00222515819484	0.000407118762359	0.000460325680419	0.000238758456029	0.00159577732769	0.0	0.000691850006919	0.000142683883855	0.000471642494989	0.000428344143924	0.000441389747147	0.000545033383295	0.000227079193869	0.000209307193191	0.000346050696427	0.000326290888327	0.00230810520666	0.0	0.000641128385959	0.000722217206825	0.000291036088475	0.000304618009017	0.000260091552226	5.97014925373e-05	0.000136481506756	4.65246115195e-05	0.000651763018966	0.000376335992774	0.00153922269254	0.000468631011657	0.000438756855576	0.000697975869977	0.000159252574583	7.6370856881e-05	6.23014142421e-05	0.000127283141348	0.000677353804471	0.000430817835858	0.000135098621994	0.000192252234932	0.000128576020572	0.000149009089554	0.000669344042838	0.000451229600662	0.00141756548536	0.00224651789726	0.000376647834275	0.000208768267223	0.00129332643559	0.000350975712481	0.000197667523226	0.000415006640106	0.000610165354811	0.000196437925616	0.000180299296833	0.000879231300634	0.00049642573471	0.000274122807018	0.00272368241863	0.000699790062982	0.0202138567453	0.000710858361471	0.0051060932713	0.000229427959621	0.0039207144413	0.000171909919202	0.00014862153526	0.000317107975266	0.00173286199487	0.000267397553312	0.000208058811291	0.000679209400258	0.000285469597488	0.000921658986175	0.000138197899392	0.000303797468354	0.00525040387722	0.000803643182427	0.000687390208508	0.000333377783704	0.000235201881615	8.51643672287e-05	0.000519403428063	0.000487012987013	0.000331317816616	0.000261934385436	0.000307692307692	0.000261352499183	0.000476303881877	0.000500250125063	0.00021554821095	0.000172354360565	0.00051024127123	0.000194995125122	0.00227184573613	0.00109329446064	0.00117336462306	0.000143564711794	0.000145581598486	0.00151715039578	0.000296581893675	0.00294486215539	0.00114810562572	0.00019725811224	0.000120634537668	0.0	7.3432222059e-05	5.84692743963e-05	0.000331895121142
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0.0	0.0	0.0	8.55651578677e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.75373993096e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.37801608579e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00168510925125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8241782484e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000115081420105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00390706760622	0.0	0.0	0.0	0.0	0.0	0.0	5.82072176951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00171360452988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000945504555613	7.43107676301e-05	0.0	0.0	0.0	0.000277411748388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.63766898343e-05	0.0	0.0	8.51643672287e-05	0.0	0.0	0.0	0.0	0.0	0.0	7.93839803128e-05	0.0	7.18494036499e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.0	0.000292890092993	0.0	0.0	0.0	5.45911125669e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.22083981337e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000128600823045	0.0	5.08078447312e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.13722842764e-05	0.000274499039253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.76070050118e-05	0.0	0.0	4.01719358856e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4120891242e-05	0.0	0.0	0.0	6.05253601259e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.95361935888e-05	0.0	0.0	7.95861520096e-05	0.0	0.0	0.0	0.0	5.89553118736e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.97108385681e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08494584398e-05	7.52049334436e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.99700089974e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.93144797948e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8400627205e-05	0.0	0.0	0.0	0.0	6.54835963591e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.28862973761e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.0	0.0	8.83392226147e-05	0.0	5.15251442704e-05	0.00087345780107	0.0	0.00011901219875	0.0	0.0	0.0	0.000125786163522	0.000117501909406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000101004999747	0.0	0.000384516790567	5.75373993096e-05	5.69703184641e-05	0.000111982082867	0.0	0.0	5.08078447312e-05	0.0	5.65418975461e-05	0.0	6.45078054445e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.19067900729e-05	5.24576404553e-05	7.79909530493e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.73953968892e-05	4.01719358856e-05	0.0	0.0	0.000204638472033	0.0	0.0	0.0	5.42740841248e-05	0.0	8.91384766234e-05	0.0	0.0	5.65578869973e-05	0.0	0.0	5.26759376317e-05	4.4120891242e-05	0.0	0.0	0.0	0.0	0.0	0.000132275132275	0.0	0.0	0.0	0.000342794460441	0.0	0.000208608580766	5.81598231942e-05	5.75407100524e-05	0.0	6.13760510649e-05	0.0	6.91850006919e-05	0.0	0.000176865935621	0.0	0.0	0.0	5.67697984672e-05	0.0	0.0	8.15727220817e-05	0.0	8.97343862168e-05	0.0	0.0	5.82072176951e-05	0.0	0.0	0.0	6.82407533779e-05	0.0	6.51763018966e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000124602828484	0.0	0.0	7.18029726431e-05	0.0	0.0	0.0	0.0	6.08494584398e-05	0.0	0.0	0.000149767859817	0.0	0.0	0.000323331608898	0.0	0.0	0.0	0.0	0.0	0.0	6.28022357596e-05	9.9285146942e-05	0.0	0.00095328884652	9.99700089974e-05	7.32386113959e-05	0.0	0.000226937478725	0.0	0.000217817468961	0.0	0.0	7.92769938163e-05	6.93144797948e-05	0.0	0.0	0.0	0.0	8.37871805614e-05	6.9098949696e-05	0.0	6.73128702208e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000248488362462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.28862973761e-05	0.0	0.0	0.0	0.00032981530343	0.0	0.0	0.0	0.0	0.0	0.0	0.000293728888236	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.95060993752e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.16793269622e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.65578869973e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.82072176951e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.95894224078e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.00997656109e-05	0.0	0.0	0.00130208333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000687639676809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.51643672287e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000259993500162	0.000110821743226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000587457776472	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.15512306812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.62195121951e-05	0.0	0.0	0.0	0.0	0.00010660412558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.21104742053e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.13419419277e-05	0.0	0.0	6.30556781638e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0109944478039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00156259390588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0331598581495	0.0079080325108	0.00936395759716	0.0104389492599	0.0160758450124	0.0191614805109	0.0449156294584	0.00291579886938	0.0969640787949	0.0	0.0595403431746	0.000314465408805	0.000705011456436	0.0330333625988	0.00391317188423	0.000147354978142	0.00211565585331	0.236361089712	0.103763608087	0.00214347913457	0.0372203424069	0.0154864039553	0.0115995898488	0.0090333716916	0.0373725289124	0.00291153415454	0.000578703703704	0.00253303210789	0.10674728178	0.0344161419576	0.0873006898112	0.37632667746	0.121403689847	0.0057808310992	0.0003244225279	0.0	0.0145452313735	0.00892121877574	0.00062630480167	0.00170021762786	0.106326219512	0.00294864444262	0.00524576404553	0.0269068788021	0.000994282873479	0.167155268909	0.236601210689	0.173949417594	0.000172821015035	0.0105792705482	0.0132583366814	0.012654159804	0.00458817435062	8.16793269622e-05	0.0221009549795	0.0629669156884	0.00831904489744	0.0336174242424	0.0301221166893	0.0485301791616	0.0593216561929	0.0795205836373	0.00926961802781	0.000961484078955	0.0424866748667	0.023442281797	0.0290244416351	0.0229869843371	0.0569883527454	0.00135348522445	0.00465142988401	0.103800992616	0.119197080292	0.0	0.0598846185098	0.0359344957899	0.0338151646402	0.019470725353	0.00173197661832	0.00146026006537	0.0639176456905	0.0147879624835	0.000716275368086	0.0422880991837	0.0159504032743	0.0570084405701	0.0131269173147	0.00147388279684	0.00385509729531	0.00693612459802	0.00252077939774	0.0983820607438	6.97690643968e-05	0.029154771174	0.00407863610409	0.0474503488996	0.0228822684853	0.0259122722659	0.00880202220818	0.00896391152504	0.272754965274	0.169995838535	0.021671641791	0.0374641736044	0.0171210570392	0.000260705207586	0.000752671985549	0.000439777912154	0.0590475074688	0.143180987203	0.00149566257852	0.0179424567364	0.0165724759432	0.0911469690363	0.00311843696303	0.0171596297132	0.00122065053493	0.0303971899487	0.017639142555	0.000578592092575	0.01169721353	0.00194718267007	0.020004512296	0.0192912172573	0.112550546653	0.015065913371	0.0142658315936	0.0395757889292	0.127895549628	0.157870461883	0.00074701195219	0.0402098968821	0.124738082765	0.0155658392932	0.011744018087	0.167494042891	0.00616776315789	0.0315266239957	9.99700089974e-05	0.0688442947122	0.0342989159409	0.0100419834336	0.0162129091465	0.011108690917	0.0156438026474	0.0105521290034	0.00459806564135	0.0393013100437	0.0230630389732	0.0022192939871	0.0357943353937	0.00628033114473	0.181818181818	0.0498894416805	0.108050632912	0.0283387183629	0.00388427538173	0.00381883449171	0.013135084678	0.00791846334771	0.00468404019758	0.0171403131261	0.0354707792208	0.0102708523151	0.046493353415	0.0454153846154	0.00640313622999	0.0374692387076	0.0230829700564	0.017028308665	0.0598931402964	0.0267512209345	0.134026649334	0.0217210616723	0.0144314868805	0.0279651901828	0.0587179671237	0.0163779298297	0.0199868073878	0.0358864091347	0.00357142857143	0.0103329506315	0.0128217772956	0.056698232704	0.0151587377253	0.00257012777207	0.0512190843712	0.0188706083163
